ID,SP,L,W,Wb,A,W10,W25,W50,W80,W90,dW,BS,Hs,Mu,LBs,P,H,D,S,Sl,Sw,St
CR11,deltoides,11.7,2,1.3,20.1,1.75,1.98,2,1.33,0.75,5.52,0.04,0.5,0.73,0.35,30.2,6.35,8.45,2,5,3.63,2.76
CR12,deltoides,13,1.66,1.17,17.2,1.52,1.6,1.6,1.22,0.73,4.36,0.07,0.48,1.45,0.3,30.8,6.45,8.61,3,5,3,2.9
CR13,deltoides,12.83,1.37,0.92,14.7,1.31,1.34,1.38,1,0.5,4,0.07,0.49,1.32,0.31,27.7,6.43,8.6,3,5,3.2,2.6
CR14,deltoides,12.85,1.54,1,15.9,1.43,1.47,1.5,1.1,0.67,4.87,0.06,0.5,1,0.3,28,6.45,8.28,2,4.7,4,2.8
CR15,deltoides,10.42,1.41,1.15,13.8,1.37,1.33,1.45,0.8,0.54,1.8,0.04,0.54,0.75,0.3,25.8,6.46,8.76,3,5.1,3.2,2.45
CR21,deltoides,13.3,1.42,0.98,17.5,1.28,1.36,1.34,0.9,0.57,3.52,0.08,0.53,0.68,0.3,31,9.67,11.23,3,6.76,3.48,3.38
CR22,deltoides,13.68,1.36,1.33,17.1,1.34,1.32,1.22,0.85,0.6,3,0.09,0.58,0.63,0.32,35.5,10.2,11.6,3,7.1,3.4,3.44
CR23,deltoides,16.27,1.46,0.9,21,1.3,1.42,1.27,0.84,0.57,3.65,0.09,0.53,1.2,0.29,45.8,9.85,10.9,3,6.93,3.48,3.47
CR24,deltoides,13.7,1.42,1.24,17,1.42,1.42,1.31,1.88,0.6,1.82,0.08,0.53,0.8,0.3,36.4,9.9,10.5,3,7,3.45,3.45
CR25,deltoides,14.45,1.53,1.19,17.3,1.47,1.35,1.11,0.75,0.54,1,0.09,0.55,0.72,0.28,36.3,9.4,10.7,3,6.5,3.47,3.23
CR31,deltoides,11.3,1.35,1.2,15.4,1.34,1.35,1.27,0.87,0.63,2.2,0.05,0.53,1,0.26,28.8,8.7,9.27,3,5.4,3,2
CR32,deltoides,12,1.28,0.94,15.3,1.17,1.22,1.11,0.8,0.95,2,0.07,0.53,0.77,0.29,29.7,8,9,2,5.23,3.62,2.76
CR33,deltoides,12.3,1.3,0.81,14.5,1.11,1.26,1.11,0.85,0.5,4.26,0.05,0.44,0.96,0.26,32.5,9.1,10.4,2,6,3.2,3.68
CR34,deltoides,13.27,1.34,0.85,16.4,1.31,1.28,1.25,0.91,0.57,2.16,0.05,0.42,0.83,0.29,34.1,8.2,9.4,3,5.5,3,2.85
CR35,deltoides,12.96,1.4,1.02,15.1,1.37,1.33,1.25,0.79,0.5,2.22,0.06,0.49,1.22,0.27,35.4,8.3,9,2,5.27,3.8,3.34
CR41,deltoides,12.4,1.34,0.87,15,1.26,1.32,1.2,0.72,0.37,3.76,0.01,0.34,1.21,0.31,29.9,7.8,8.5,2,5.3,3.28,2.08
CR42,deltoides,12.15,1.59,1.15,16.3,1.4,1.5,1.5,1.1,0.75,4.37,0.01,0.38,0.41,0.32,32.2,7.58,8.7,3,5.55,2.61,2.44
CR43,deltoides,11.1,1.39,1.11,14.1,1.3,1.3,1.2,0.8,0.5,2.28,0.04,0.43,0.77,0.28,31.1,7.76,8.26,3,5.27,2.54,2.77
CR44,deltoides,13.13,1.43,0.84,15.4,1.31,1.42,1.31,0.8,0.51,3.22,0.01,0.34,0.85,0.27,29.1,8.18,8.45,3,5.32,2.55,2.43
CR45,deltoides,10.65,1.29,0.96,11,1.16,1.22,1.16,0.74,0.48,4,0.02,0.48,0.67,0.26,23.9,7.93,8.31,3,5.49,2.63,2.55
VASO11,oxycedrus,11.93,2,1.11,20.13,1.49,1.96,1.81,1.3,0.77,4.21,0.03,0.41,0.66,0.36,39,10.6,11.17,3,6.92,4.34,3.75
VASO12,oxycedrus,10.1,1.69,0.84,15.6,1.14,1.5,1.59,1.42,1.18,3.41,0.01,0.29,0.23,0.31,34.9,10.8,11.5,3,7.27,4.08,3.74
VASO13,oxycedrus,11.73,1.67,1.07,16.7,1.31,1.63,1.48,1.03,0.73,3.76,0.06,0.44,0.35,0.32,32.5,11.2,11,3,6.63,4.21,4.68
VASO14,oxycedrus,13.04,1.62,1.35,19.7,1.41,1.62,1.4,0.87,0.61,3.72,0.03,0.42,0.71,0.3,53.4,9.8,10.6,2,6.48,3.76,4.79
VASO15,oxycedrus,10.42,1.72,0.99,18.89,1.38,1.68,1.67,1.5,1.27,3.22,0.03,0.37,0.28,0.29,35.4,11.5,12.45,5,6.68,3.59,3.49
VASO21,oxycedrus,12.67,2.06,1.17,25.55,1.5,1.97,1.81,1.22,0.73,4.35,0.07,0.55,0.61,0.4,34.52,10.2,10.1,2,6.38,5.44,3.67
VASO22,oxycedrus,11.87,1.58,0.77,17.52,1.18,1.5,1.41,0.98,0.71,3.68,0.04,0.32,0.54,0.35,29.97,8.19,9.98,3,5.24,3.6,2.59
VASO23,oxycedrus,10.75,1.57,0.75,16.09,1.08,1.43,1.48,1.14,0.74,3.85,0.04,0.43,0.47,0.38,32.04,9.69,9.84,3,5.89,4.1,2.98
VASO24,oxycedrus,11.25,1.49,0.85,14.39,1.23,1.46,1.43,0.86,0.6,3.67,0.07,0.41,0.46,0.34,36.28,9.42,11.17,3,6.31,3.87,3.94
VASO25,oxycedrus,13.24,1.86,0.92,22.06,1.51,1.86,1.71,1.23,0.94,3.16,0.04,0.4,0.65,0.42,39.06,8.68,10.5,3,5.87,3.79,3.67
VASO31,oxycedrus,12.02,1.7,1.22,20.44,1.43,1.7,1.54,1.13,0.81,3.19,0.05,0.5,0.6,0.34,33.21,11.2,11.3,3,6.58,4.22,4.15
VASO32,oxycedrus,10.73,1.42,0.79,17.65,1.07,1.36,1.37,0.92,0.69,4.16,0,0.34,0.47,0.29,30.26,10.3,10.4,2,6.41,5.31,3.22
VASO33,oxycedrus,11.27,1.41,1.19,17.73,1.3,1.43,1.36,0.96,0.72,2.49,0.04,0.39,0.62,0.3,32.02,10.1,10.4,3,6.05,3.69,3.39
VASO34,oxycedrus,10.82,1.66,1.25,18.34,1.56,1.64,1.47,1.1,0.88,2.48,0.07,0.35,0.63,0.36,37.761,10.2,9.6,2,6.6,5.5,3.44
VASO35,oxycedrus,11.34,1.83,1.17,20.68,1.58,1.81,1.75,1.48,1.11,3.54,0.05,0.51,0.53,0.39,41.37,11,10.9,3,6.5,4.22,4.13
VASO41,oxycedrus,11.47,1.89,1.09,18.67,1.45,1.83,1.87,1.32,0.85,4.79,0.07,0.39,0.79,0.36,28.826,9.28,9.69,3,6.18,3.28,3.43
VASO42,oxycedrus,12.36,1.36,0.98,15.12,1.19,1.32,1.17,0.85,0.64,2.45,0.07,0.43,0.53,0.26,34.75,6.44,7.23,1,5.06,4.34,3.5
VASO43,oxycedrus,10.96,1.66,1.05,15.91,1.43,1.6,1.55,1.13,0.8,3.8,0.07,0.54,0.49,0.35,29.594,9.23,10,3,3.38,3.63,2.67
VASO44,oxycedrus,12.72,1.23,0.87,13.03,1.08,1.23,1,0.64,0.47,3.19,0.09,0.45,0.66,0.26,36.308,8.88,8.73,3,4.89,3.03,2.24
VASO45,oxycedrus,10.75,1.41,0.94,13.66,1.22,1.37,1.34,0.98,0.77,3.76,0.07,0.49,0.77,0.3,27.453,9.52,10.36,3,5.84,3.64,3.03
VASO51,oxycedrus,17.93,2.04,1.45,37.09,1.7,2.01,1.76,1.36,1.02,3.19,0.1,0.56,0.66,0.42,48.153,9.25,10.7,3,5.64,3.51,2.87
VASO52,oxycedrus,17.21,1.62,1.36,29.35,1.56,1.62,1.56,1.2,1.02,5.04,0.08,0.58,0.87,0.46,44.348,9.55,10.7,3,6.12,3.43,3.24
VASO53,oxycedrus,16.79,1.11,0.73,20.8,0.98,1,1.02,0.92,0.75,5.36,0.05,0.45,0.57,0.18,46.909,10.2,11.8,3,6.52,3.69,3.44
VASO54,oxycedrus,15.42,1.48,0.94,26.17,1.29,1.44,1.47,1.26,1.12,6.42,0.06,0.48,0.5,0.34,44.658,9.5,10.7,3,6,3.64,2.88
VASO55,oxycedrus,17.42,1.37,1.03,22.23,1.31,1.36,1.29,1.07,0.85,3.44,0.07,0.49,0.59,0.24,51.327,9.2,11.2,2,5.91,4.64,2.95
VASO61,oxycedrus,14.04,1.19,0.98,16.09,1.13,1.19,1.04,0.83,0.51,3.85,0.04,0.4,0.8,0.3,34.317,11.6,10.6,1,6.49,4.87,4.13
VASO62,oxycedrus,11.41,1.3,0.97,15.26,1.21,1.29,1.26,1.02,0.84,2.37,0.06,0.42,0.4,0.3,31.359,12.6,13,3,7.12,3.87,3.91
VASO63,oxycedrus,13.98,1.21,1,17.68,1.19,1.19,1.04,0.87,0.62,2.28,0.07,0.48,0.85,0.31,37.563,12.2,10.6,1,7.26,5.09,4.33
VASO64,oxycedrus,15.45,1.57,0.95,20.21,1.47,1.45,1.32,0.91,0.72,2.47,0.03,0.38,0.87,0.4,39.69,10.7,11.8,3,7.09,4.48,3.6
VASO65,oxycedrus,16.05,1.51,0.98,20.76,1.4,1.49,1.34,0.98,0.72,3.7,0.04,0.46,0.8,0.34,42.925,11.5,11.6,3,6.27,3.78,3.28
VASO71,oxycedrus,12.68,1.55,1,19.1,1.43,1.49,1.34,1.04,0.81,3.3,0.06,0.49,0.68,0.33,36.701,10.1,10.3,3,6.64,3.65,3.2
VASO72,oxycedrus,12.66,1.38,1.19,19.98,1.21,1.28,1.36,1.19,0.94,4.47,0.02,0.35,0.43,0.39,36.092,9.27,10.57,3,6.27,3.56,2.93
VASO73,oxycedrus,14.35,1.73,1.22,25.79,1.51,1.68,1.64,1.07,0.79,5.82,0.01,0.52,0.67,0.45,41.592,9.8,9.91,3,6.39,3.26,3.06
VASO74,oxycedrus,14.98,1.53,1.04,21.01,1.32,1.53,1.4,1.14,0.87,4.85,0.05,0.49,0.82,0.34,40.661,10.2,10.16,3,6.07,3.4,2.7
VASO75,oxycedrus,14.2,1.49,1.05,20.38,1.19,1.45,1.39,0.98,0.65,5.45,0.04,0.44,1.23,0.36,39.633,9.98,10.53,3,6.54,3.43,2.98
VASO81,oxycedrus,9.42,1.52,0.96,13.26,1.26,1.49,1.39,1.04,0.61,2.95,0.09,0.67,0.85,0.33,26.931,9.26,10.1,3,6.6,3.79,3.79
VASO82,oxycedrus,10.09,1.32,0.91,10.99,1.15,1.26,0.98,0.66,0.46,2.17,0.02,0.36,0.61,0.26,30.467,10.7,11.51,3,7.23,4.35,3.75
VASO83,oxycedrus,9.91,1.21,0.74,10.16,1.02,1.21,1.06,0.88,0.67,1.85,0.04,0.27,0.51,0.29,27.76,10.2,11.42,3,6.36,3.48,4.79
VASO84,oxycedrus,11.76,1.22,0.82,12.87,1.08,1.22,1.16,0.93,0.67,4.03,0.06,0.44,0.55,0.26,31.503,9.86,11.61,3,6.48,4.07,3.55
VASO85,oxycedrus,9.71,1.23,0.78,9.5,1.06,1.2,1.17,0.8,0.46,2.16,0.02,0.28,0.72,0.27,23.93,9.51,11.04,2,6.01,3.36,4.39
VASO91,oxycedrus,14.08,0.94,0.81,13.25,0.83,0.85,0.85,0.71,0.57,2.63,0.07,0.39,0.99,0.23,34.417,10.21,11.33,3,6.61,3.96,4.16
VASO92,oxycedrus,11.72,1.64,1.01,17.26,1.29,1.57,1.57,1.24,0.77,4.06,0.07,0.46,0.86,0.4,29.032,9.62,10.89,2,6.46,5.04,3.85
VASO93,oxycedrus,15.39,1.49,0.87,19.82,1.24,1.49,1.4,1.04,0.77,3.14,0.05,0.49,0.54,0.38,41.446,9.88,11.04,3,6.92,4.66,3.61
VASO94,oxycedrus,13.45,1.74,1.06,19.44,1.55,1.74,1.49,1.06,0.69,3.11,0.05,0.48,1.01,0.43,37.359,10.11,11.43,2,6.64,5.25,3.66
VASO95,oxycedrus,15.11,1.53,0.95,20.24,1.37,1.5,1.37,1.04,0.69,4.02,0.05,0.47,0.89,0.39,39.317,10.12,11.38,2,6.69,5.78,3.75
VASO01,oxycedrus,19.76,1.59,1.15,29.5,1.58,1.58,1.44,1.11,0.74,3.19,0.09,0.61,0.94,0.32,48.33,9.59,8.69,1,5.82,4.55,2.94
VASO02,oxycedrus,16.8,1.53,0.93,23.65,1.38,1.53,1.4,1.09,0.76,4.12,0.06,0.44,0.59,0.3,47.12,9.2,9.64,2,5.32,4.1,2.67
VASO03,oxycedrus,15.48,1.51,1.06,22.85,1.38,1.49,1.38,1.8,0.86,2.55,0.12,0.53,0.74,0.31,54.35,8.67,8.89,2,5.86,3.79,2.69
VASO04,oxycedrus,17.3,1.65,1.12,26.03,1.47,1.59,1.43,1.13,0.89,4.1,0.06,0.5,0.84,0.36,57.19,10.54,9.66,3,5.78,3.1,2.59
VASO05,oxycedrus,17.85,1.74,1.22,26.26,1.56,1.74,1.47,1.08,0.72,4.3,0.09,0.6,1.08,0.33,47.21,10.19,9.92,3,6.2,3.27,2.94
SI11,deltoides,13.19,1.2,0.82,13.81,1.18,1.14,1.02,0.63,0.31,3.26,0.03,0.39,1.36,0.28,35.285,7.88,9.07,3,5.44,2.44,2.46
SI12,deltoides,13.36,1.78,1.06,18.523,1.65,1.78,1.46,0.91,0.46,2.93,0.06,0.54,0.6,0.37,33.617,7.52,8.39,2,5.21,2.98,2.71
SI13,deltoides,15,1.46,1.16,16.273,1.42,1.33,1.19,0.74,0.33,2.03,0.05,0.54,1.5,0.31,34.462,8.15,9.6,2,5.54,3.03,2.61
SI14,deltoides,11.6,1.25,0.99,13.124,1.2,1.22,1.12,0.8,0.46,3.22,0.04,0.46,1.18,0.32,33.91,8.94,9.37,3,5.22,2.54,1.79
SI15,deltoides,11.62,1.4,1.04,12.833,1.29,1.4,1.22,0.74,0.39,2.89,0.03,0.54,1.25,0.3,34.722,7.64,8.88,3,5.38,2.81,2.49
SI21,deltoides,12.3,1.35,1.06,13.751,1.27,1.35,1.14,0.79,0.36,1.42,0.05,0.5,1.26,0.31,31.55,8.52,11.46,2,5.35,3.01,2.29
SI22,deltoides,15.46,1.51,1.4,22.496,1.4,1.51,1.41,0.93,0.39,3.74,0.05,0.56,1.15,0.33,40.356,9.46,11.81,3,6.11,2.98,2.86
SI23,deltoides,16.83,1.07,0.75,17.259,1.01,1.01,1.03,0.82,0.46,4.94,0.04,0.49,0.72,0.25,41.932,9.36,10.51,2,6.08,3.36,2.53
SI24,deltoides,13,1.27,0.75,14.419,1.12,1.21,1.14,0.77,0.38,4.6,0.04,0.46,1.12,0.3,33.305,8.63,10.64,3,6.18,2.93,2.27
SI25,deltoides,15.06,1.37,0.99,18.076,1.25,1.35,1.33,0.93,0.46,4.15,0.05,0.48,0.96,0.29,39.019,9.52,11.57,2,6.29,3.49,2.78
SI31,deltoides,13.69,1.11,0.91,12.038,0.98,1.09,1.04,0.57,0.24,3.66,0.05,0.45,1.7,0.26,28.779,8.27,9.03,1,5.9,3.65,3.08
SI32,deltoides,16.37,1.35,0.97,18.082,1.26,1.35,1.22,0.81,0.37,3.55,0.06,0.65,1.79,0.39,43.088,8.65,9.24,3,4.89,2.59,2.53
SI33,deltoides,14.03,1.48,1.06,16.944,1.4,1.42,1.37,0.77,0.38,2.57,0.06,0.55,1.44,0.38,36.661,8.67,10.18,3,5.88,2.91,2.46
SI34,deltoides,16.8,1.27,0.91,17.204,1.2,1.27,1.12,0.77,0.39,4.18,0.05,0.58,1.43,0.29,37.522,9.92,10.3,3,6.17,2.87,2.7
SI35,deltoides,15.09,1.45,0.97,17.577,1.38,1.44,1.4,0.82,0.32,2.9,0.05,0.51,1.85,0.33,35.167,9.55,10.07,3,6.46,2.55,2.79
SI41,deltoides,11.07,1.29,0.79,13.75,1.2,1.2,1.25,0.78,0.35,2.84,0.05,0.54,1.33,0.3,29.078,7.13,8.56,3,5.43,2.92,2.37
SI42,deltoides,16.28,1.55,1.03,21.926,1.46,1.53,1.33,0.84,0.4,4.08,0.02,0.6,1.39,0.33,41.707,7.5,8.37,2,5.46,2.98,2.78
SI43,deltoides,12,1.53,1,16.784,1.36,1.53,1.46,0.9,0.4,2.98,0.05,0.52,1.11,0.37,31.187,8.52,10.33,3,5.82,2.72,2.77
SI44,deltoides,11.6,1.3,0.89,14.84,1.26,1.27,1.23,0.92,0.48,1.93,0.03,0.48,1.1,0.27,30.919,8.85,10.21,3,5.94,2.75,2.89
SI45,deltoides,15.02,1.33,0.95,16.65,1.25,1.25,1.2,0.78,0.41,2.6,0.03,0.49,0.91,0.26,42.818,9.2,9.13,3,5.79,2.73,2.82
SI51,deltoides,12.77,1.23,0.86,12.731,1.16,1.18,1.14,0.77,0.35,2.02,0.03,0.4,1.21,0.3,27.432,7.76,8.99,3,5.61,2.39,1.89
SI52,deltoides,12.33,1.3,0.94,12.131,1.23,1.22,0.96,0.64,0.39,2.35,0.02,0.45,1.15,0.29,34.08,8.77,9.17,2,5.49,2.83,2.93
SI53,deltoides,11.7,1.21,0.86,12.151,1.18,1.21,1.13,0.73,0.37,2.52,0.06,0.56,0.97,0.29,34.725,8.77,8.81,1,5.56,3.19,2.9
SI54,deltoides,14.11,1.46,1.1,17.005,1.39,1.38,1.32,0.9,0.48,2.51,0.02,0.39,1.01,0.31,34.687,8.73,10.17,2,6.3,3.4,2.74
SI55,deltoides,13.49,1.23,0.88,12.731,1.16,1.23,1.06,0.74,0.44,3.74,0.04,0.51,1.06,0.29,38.494,7.57,8.46,1,5.79,3.49,3.03
SI61,deltoides,16.3,1.44,0.97,22.49,1.29,1.36,1.42,1.03,0.57,8,0.03,0.69,1.34,0.29,44.623,8.02,8.69,3,5.03,2.52,2.49
SI62,deltoides,15.71,1.72,1.28,23.224,1.62,1.72,1.66,1.13,0.56,3.7,0.06,0.67,1.65,0.35,50.914,9.4,9.55,2,6.22,3.11,2.86
SI63,deltoides,11.91,1.19,0.9,12.124,1.03,1.1,1.18,0.85,0.35,5.03,0.02,0.5,1.08,0.27,28.076,9.69,10.39,5,5.9,2.65,3.46
SI64,deltoides,15.82,1.59,1.18,20.303,1.51,1.53,1.46,0.98,0.46,4.45,0.02,0.54,1.37,0.38,39.934,9.58,10.18,3,5.83,2.97,2.93
SI65,deltoides,13.07,1.34,1.01,15.298,1.21,1.29,1.26,0.87,0.34,3.28,0.03,0.62,1.16,0.3,32.641,8.35,8.33,2,5.56,2.89,2.12
SI71,deltoides,13.66,1.32,1.03,15.698,1.22,1.28,1.18,0.82,0.44,1.97,0.03,0.46,0.95,0.33,32.574,7.78,9.07,3,5.97,2.82,3.21
SI72,deltoides,15.42,1.39,0.98,17.826,1.32,1.35,1.32,0.9,0.37,4.91,0.04,0.52,1.41,0.37,33.403,7.98,8.94,1,4.92,3.42,2.68
SI73,deltoides,15.38,1.22,0.96,16.003,1.2,1.2,1.11,0.84,0.4,1.43,0.05,0.58,1.29,0.35,32.172,9.53,9.41,2,4.96,2.72,2.47
SI74,deltoides,13.63,1.79,1.46,20.226,1.79,1.77,1.48,1,0.55,1.3,0.06,0.68,0.97,0.37,37.995,8.66,9.81,3,3.98,1.81,1.18
SI75,deltoides,16.6,1.51,1.13,20.106,1.41,1.5,1.35,0.88,0.46,4.73,0.04,0.48,1.14,0.3,35.989,8.75,10.28,2,6.05,3.62,2.27
SI81,deltoides,18.63,1.51,1.26,25.448,1.45,1.45,1.4,1,0.44,2.05,0.08,0.66,1.68,0.35,48.722,7.36,9.09,2,4.89,3.02,2.89
SI82,deltoides,16.68,1.72,1.37,25.306,1.61,1.69,1.58,1.2,0.77,3.13,0.04,0.57,0.9,0.4,54.352,8.93,10.81,3,5.93,3.31,3.12
SI83,deltoides,15.65,1.47,1.07,19.558,1.35,1.44,1.42,0.96,0.51,5.45,0.05,0.5,1.5,0.35,43.521,8.07,10.29,2,4.95,3.57,2.61
SI84,deltoides,17.42,1.4,0.99,19.704,1.35,1.39,1.23,0.93,0.47,4.12,0.08,0.66,1.36,0.38,39.16,7.47,9.62,3,4.87,2.9,2.95
SI85,deltoides,18.81,1.97,1.6,29.31,1.92,1.91,1.71,1.06,0.42,3.38,0.1,0.74,1.79,0.47,46.552,9.39,10.33,3,4.96,2.76,2.82
SI91,deltoides,13.45,1.46,1,17.837,1.44,1.4,1.22,0.9,0.53,1.9,0.05,0.53,1.1,0.36,37.403,10.03,11.61,3,6.52,2.78,2.65
