ID,SP,L,W,Wb,A,W10,W25,W50,W80,W90,dW,BS,Hs,Mu,LBs,P,H,D,S,Sl,Sw,St
SI92,deltoides,10.36,1.52,1.12,14.208,1.5,1.5,1.44,1.06,0.62,2.3,0.13,0.67,0.58,0.36,32.235,8.43,10.41,1,5.95,3.48,3.27
SI93,deltoides,14.31,1.71,1.18,18.771,1.69,1.54,1.3,0.86,0.36,0.77,0.06,0.64,1.32,0.4,40.814,9.84,10.54,3,4.9,3.01,2.81
SI94,deltoides,11.9,1.4,1.07,13.576,1.4,1.37,1.25,0.85,0.38,1.1,0.08,0.62,1.19,0.34,29.154,8.77,10.65,2,6.23,3.36,3.65
SI95,deltoides,10.1,1.44,0.87,11.09,1.44,1.34,1.25,0.87,0.48,1.1,0,0.38,0.78,0.29,27.757,8.58,10.66,2,5.08,3.63,2.68
SI01,deltoides,18.07,1.52,1.13,21.132,1.52,1.41,1.17,0.8,0.43,2.07,0.04,0.49,1.22,0.26,46.058,7.27,8.66,1,5.05,3.28,3.16
SI02,deltoides,13.39,1.15,0.83,13.239,1.03,1.11,1.03,0.78,0.41,3.21,0.04,0.44,1.02,0.23,33.744,9.04,10.01,3,5.62,2.93,2.51
SI03,deltoides,16.78,1.45,1.26,20.38,1.45,1.33,1.24,0.8,0.47,1.88,0.06,0.62,1.9,0.32,49.082,8.81,9.27,2,5.82,3.57,2.57
SI04,deltoides,15.33,1.35,1.2,17.75,1.32,1.31,1.2,0.83,0.44,3.25,0.08,0.59,1.15,0.3,41.056,8.28,9.89,3,5.59,2.5,2.22
SI05,deltoides,13.61,1.19,0.93,12.82,1.09,1.12,1.05,0.73,0.34,1.82,0.09,0.57,1.22,0.23,32.456,9.2,9.51,3,5.75,2.89,2.54
VE11,macrocarpa,20.22,1.75,1.03,30.692,1.56,1.72,1.57,1.14,0.7,3.88,0.08,0.59,0.91,0.5,58.006,14.52,12.64,3,7.89,4.27,3.8
VE12,macrocarpa,18.56,1.45,0.82,23.128,1.17,1.37,1.35,1.08,0.75,6.54,0.04,0.51,0.74,0.43,56.139,15.91,15.65,3,7.93,4.24,3.45
VE13,macrocarpa,19.53,1.84,1.09,31.525,1.69,1.82,1.65,1.12,0.76,3.79,0.05,0.54,0.53,0.54,54.861,14.56,12.92,3,7.78,3.88,3.92
VE14,macrocarpa,18.6,2.31,1.21,35.163,2.08,2.31,1.99,1.17,0.56,4.14,0.03,0.78,1.06,0.66,52.371,14.76,13.97,4,6.24,4.52,2.93
VE15,macrocarpa,16.15,1.73,1.05,25.377,1.54,1.73,1.52,1.08,0.68,3.51,0.07,0.62,0.53,0.53,46.683,15.64,13.63,3,7.76,4.43,3.91
VE21,macrocarpa,16.92,1.85,1.35,27.671,1.57,1.82,1.6,1.07,0.61,1.13,0.08,0.61,1.03,0.55,53.74,14.51,15.5,5,7.78,3.91,3.26
VE22,macrocarpa,17.32,1.94,1.12,27.996,1.82,1.94,1.71,1.12,0.6,2.99,0.08,0.76,1.22,0.57,50.818,15.27,14.61,3,8.16,4.22,3.94
VE23,macrocarpa,16.17,1.84,1.19,24.829,1.67,1.84,1.62,1.1,0.6,4.41,0.06,0.68,1,0.58,52.145,12.95,12.63,3,7.91,3.57,3.51
VE24,macrocarpa,16.19,1.78,1.05,25.556,1.55,1.75,1.62,1.08,0.67,5.27,0.04,0.56,0.91,0.51,44.273,12.66,14.51,3,7.64,5.07,3.64
VE25,macrocarpa,13.93,2.07,1.33,25.915,1.94,2.07,1.83,1.14,0.66,3.07,0.06,0.5,0.71,0.61,39.934,15.86,16.21,4,7.47,5.23,3.25
VE31,macrocarpa,13.26,1.92,1.01,20.81,1.58,1.82,1.72,1.22,0.8,4.05,0.02,0.38,0.32,0.62,32.328,16.69,16.31,4,7.57,4.98,3.63
VE32,macrocarpa,13.97,1.78,1.05,22.247,1.6,1.75,1.63,1.09,0.74,3,0.03,0.48,0.48,0.55,39.099,15.66,15.48,3,7.6,4.35,3.78
VE33,macrocarpa,12.82,1.58,1.13,17.38,1.32,1.54,1.54,1.07,0.74,2.75,0.03,0.57,0.34,0.56,31.774,14.44,14.77,4,8.06,3.78,3.97
VE34,macrocarpa,14.25,2.02,1.33,24.04,1.8,2.01,1.76,1.32,0.92,3.12,0.04,0.59,0.26,0.65,42.141,16.66,15.44,4,8.13,4.45,3.91
VE35,macrocarpa,14.36,1.69,0.91,19.462,1.47,1.63,1.54,1.08,0.61,4.6,0.01,0.36,0.4,0.5,34.818,12.52,12.6,3,7.39,4.6,4.09
VE41,macrocarpa,17,2.26,1.35,32.684,2.11,2.25,1.98,1.53,0.93,3.94,0.04,0.75,0.69,0.73,50.379,14.68,15.64,3,7.83,5.1,4.37
VE42,macrocarpa,17.6,1.93,1.01,31.585,1.75,1.93,1.79,1.18,0.65,3.31,0.03,0.66,0.84,0.6,48.093,14.76,15.23,3,7.49,4.41,1.11
VE43,macrocarpa,16.14,1.82,1.09,26.668,1.72,1.79,1.64,1.1,0.7,4.94,0.02,0.72,0.5,0.6,45.463,14.55,17.34,3,7.52,4.82,4.14
VE44,macrocarpa,17.87,1.96,1.4,28.72,1.81,1.89,1.73,1.26,0.84,4.26,0.06,0.73,0.53,0.59,51.044,15.24,15.89,3,7.53,4.78,3.21
VE45,macrocarpa,14.39,2.31,1.39,28.813,2.04,2.27,2.14,1.55,1.03,3.23,0.02,0.77,0.42,0.8,43.839,14.23,15.68,3,6.67,5.18,3.81
VE51,macrocarpa,17.45,2.16,1.35,32.245,1.89,2.12,1.84,1.2,0.7,4.61,0.04,0.7,0.66,0.63,50.66,12.49,10.62,3,8.49,4.09,3.76
VE52,macrocarpa,13.57,2.25,1.24,24.723,1.94,2.22,1.92,1.22,0.68,3.18,0.01,0.64,0.53,0.78,37.651,12.26,13.45,3,8.13,4.81,4.64
VE53,macrocarpa,13.95,1.89,0.97,21.648,1.63,1.86,1.81,1.16,0.69,4.34,0,0.57,0.62,0.66,36.489,13.91,13.76,3,8.21,4.69,4.06
VE54,macrocarpa,15.11,1.69,0.89,21.23,1.48,1.69,1.52,1.12,0.68,3.93,0,0.55,0.9,0.58,40.876,14.14,14.45,3,8.18,4.31,4.38
VE55,macrocarpa,14.27,2.11,1.14,24.599,1.83,2.07,2,1.33,0.87,3.89,0.05,0.5,0.61,0.73,36.308,12.97,12.12,3,7.66,4.63,4.05
VE61,macrocarpa,14.73,1.77,0.9,21.913,1.55,1.77,1.63,1.2,0.86,3.18,0.05,0.65,0.34,0.64,41.835,12.62,13.97,3,7.84,4.03,4.79
VE62,macrocarpa,14.82,1.65,1.35,24.376,1.78,1.93,1.62,1.17,0.78,3.31,0.03,0.58,0.5,0.6,48.465,12.07,12,2,8.3,5.02,4.31
VE63,macrocarpa,12.32,2.02,1.14,21.918,1.82,2,1.84,1.33,0.93,2.78,0.05,0.55,0.27,0.75,42.885,14.67,12.81,3,7.52,4.81,4.97
VE64,macrocarpa,13,1.84,1.24,20.748,1.75,1.81,1.57,1.17,0.83,2.34,0.05,0.52,0.39,0.65,39.534,12.97,12.93,4,7.22,3.82,4.15
VE65,macrocarpa,11.79,1.71,1.02,16.221,1.38,1.63,1.54,1.08,0.79,3.8,0.05,0.56,0.21,0.53,30.937,14.42,12.95,3,7.41,4.62,4.75
VE71,macrocarpa,9.57,2.4,1.45,20.672,2.12,2.35,2.18,1.37,0.93,3.12,0,0.48,0.34,0.8,35.241,11.52,10.58,3,6.51,3.15,2.98
VE72,macrocarpa,11.86,1.65,0.73,17.951,1.33,1.61,1.57,1.16,0.87,3.34,0.05,0.46,0,0.55,33.531,12.02,11.65,3,6.21,2.85,3.91
VE73,macrocarpa,10.74,1.96,1.16,19.42,1.68,1.94,1.75,1.31,0.9,2.78,0.07,0.54,0,0.62,31.393,11.28,9.62,2,5.65,2.47,3.6
VE74,macrocarpa,9.48,2.03,1.42,16.6,1.84,1.99,1.78,1.23,0.88,2.83,0.05,0.52,0.26,0.63,27.628,10.7,11.47,3,5.63,3.49,3.46
VE75,macrocarpa,10.33,1.16,1.07,11.948,1.11,1.15,1.04,0.79,0.65,2.22,0.02,0.37,0,0.4,29.02,12.08,11.85,2,7.23,4.71,3.57
VE81,macrocarpa,14,1.67,1.03,23.134,1.3,1.62,1.65,1.18,0.77,5.57,0.05,0.56,0.24,0.61,40.774,14.37,15.46,3,8.06,4.59,3.83
VE82,macrocarpa,14,1.75,1.12,22.646,1.56,1.72,1.71,1.17,0.82,4.35,0.04,0.53,0.32,0.6,46.521,12.81,14.06,3,7.25,3.41,3.82
VE83,macrocarpa,12.07,1.72,0.93,18.29,1.4,1.64,1.6,1.2,0.87,2.87,0,0.34,0,0.57,37.583,12.26,12.87,3,6.49,3.6,3.65
VE84,macrocarpa,13.53,2.07,1.54,25.008,1.87,2.02,1.87,1.35,0.92,4.18,0.07,0.6,0.25,0.71,44.261,12.84,14.04,3,6.47,4.61,3.23
VE85,macrocarpa,12.73,2.17,1.43,24.045,1.85,2.14,1.97,1.46,1.09,3.47,0.06,0.71,0.23,0.78,35.576,14.45,14.46,3,7.27,4.77,3.58
VE91,macrocarpa,12.96,1.67,1.34,18.676,1.63,1.63,1.53,0.96,0.53,1.66,0.08,0.64,0.87,0.48,34.105,10.92,12.65,5,6.02,4.39,2.84
VE92,macrocarpa,15,1.9,1.22,23.34,1.71,1.88,1.69,1.04,0.59,3,0.05,0.65,1.17,0.62,41.646,12.59,12.61,5,6.68,3.86,2.94
VE93,macrocarpa,11.73,1.42,0.94,14.232,1.24,1.4,1.3,0.93,0.62,2.76,0.02,0.48,0.42,0.4,34.694,11.78,12.71,3,7.15,4.77,4.8
VE94,macrocarpa,13.87,1.49,1.06,17.577,1.37,1.48,1.35,0.96,0.52,2.47,0.07,0.53,0.63,0.403,32.519,11.92,12.98,4,6.4,4.34,4.38
VE95,macrocarpa,14.1,2.02,1.23,25.018,1.78,2.01,1.75,1.15,0.66,3.59,0.08,0.68,0.41,0.57,37.684,13.85,14.04,3,7.19,3.87,3.6
VE01,macrocarpa,14.25,1.69,0.84,21.798,1.32,1.6,1.65,1.31,0.9,6.12,0.04,0.64,0,0.56,36.889,12.79,12.31,3,6.47,4.13,3.07
VE02,macrocarpa,16.44,1.86,1.22,26.626,1.67,1.86,1.73,1.2,0.79,3.89,0.03,0.5,0.3,0.56,46.851,12.2,12.04,3,6.42,3.95,2.81
VE03,macrocarpa,13.34,1.7,1,20.158,1.48,0.166,1.5,1.13,0.79,2.55,0.04,0.46,0,0.54,38.837,12.07,12.17,3,6.67,4.72,4
VE04,macrocarpa,16.7,1.72,1.02,26.895,1.57,1.7,1.51,1.18,0.91,3.37,0.04,0.54,0,0.56,46.231,12.09,13.88,3,7.4,3.85,3.27
VE05,macrocarpa,14.5,1.95,1.16,22.846,1.69,1.89,1.69,1.22,0.84,3.22,0.02,0.52,0.37,0.57,40.976,12.95,12.87,4,6.7,3.88,2.44
LI11,macrocarpa,17.17,2.59,1.52,36.154,2.25,2.54,2.29,1.43,0.84,4.52,0.04,0.59,0.27,0.62,48.911,10.13,11.79,3,7.52,4.15,3.25
LI12,macrocarpa,15.55,2.27,1.09,30.536,1.82,2.21,2.08,1.57,1.06,4.74,0.08,0.7,0.21,0.61,43.681,10.19,12.66,3,7.54,3.53,3.9
LI13,macrocarpa,17.71,2.46,1.24,34.305,2.14,2.42,2.14,1.37,0.64,4.86,0.08,0.59,0.61,0.64,53.299,10.68,12.9,3,7.79,4.37,3.4
LI14,macrocarpa,14.91,2.24,1.27,26.508,1.88,2.23,1.97,1.25,0.72,4.2,0.09,0.68,0.22,0.66,44.494,10.42,11.98,3,7.46,3.47,3.42
LI15,macrocarpa,16.15,2.06,0.97,26.073,1.08,2.05,1.85,1.32,0.81,4.49,0.05,0.53,0.22,0.5,37.744,10.54,11.64,3,7.78,3.92,3.46
LI21,macrocarpa,19.72,1.89,1.2,32.899,1.67,1.86,1.78,1.24,0.89,5.47,0.05,0.72,0.43,0.49,51.832,13.97,12.63,3,7.2,4.65,3.23
LI22,macrocarpa,15.23,1.65,1.14,22.244,1.43,1.64,1.58,1.13,0.81,5.78,0.07,0.62,0.59,0.45,45.462,12.55,11.13,4,6.6,4.08,2.65
LI23,macrocarpa,14.22,2.28,1.13,27.457,1.82,2.25,2.14,1.47,0.83,4.04,0.06,0.6,0.5,0.63,42.072,13.97,12.67,4,7.18,4.51,3.71
LI24,macrocarpa,17.19,2.12,1.43,32.162,2.01,2.1,1.88,1.37,0.88,3.88,0.07,0.7,0.39,0.47,49.587,14.46,12.63,4,8.13,3.18,2.69
LI25,macrocarpa,17.58,1.87,1.21,28.511,1.69,1.82,1.78,1.26,0.97,3.75,0.02,0.5,0.32,0.45,46.039,12.01,12.22,3,8.16,4.37,3.2
LI31,macrocarpa,12.82,2.67,1.16,29.227,1.97,2.54,2.52,1.73,1.21,4.49,0.06,0.7,0.26,0.7,43.399,12.09,14.45,3,7.28,4.33,4.65
LI32,macrocarpa,13.02,2,1.22,22.455,1.62,1.93,1.89,1.31,0.92,3.89,0.08,0.78,0.28,0.56,40.491,10.89,11.91,2,6.38,3.2,4.91
LI33,macrocarpa,13.56,1.99,0.84,23.427,1.61,1.89,1.95,1.36,0.91,4.17,0.04,0.63,0.21,0.571,40.979,12.56,12.94,2,6.61,3.51,5.08
LI34,macrocarpa,10.97,2.21,1.13,22.185,1.77,2.14,2.11,1.5,1.02,3.71,0.08,0.66,0,0.62,36.377,11.38,12.74,2,7.61,3.55,5.9
LI35,macrocarpa,13.89,2.34,1.3,26.609,1.97,2.3,2.11,1.48,0.96,4.36,0.07,0.72,0,0.63,41.947,12.64,13.82,3,7.78,4.41,5.06
LI41,macrocarpa,15.79,1.88,1.01,29.836,1.54,1.79,1.78,1.34,0.96,5.29,0.01,0.66,0.39,0.57,48.196,12.03,14.52,3,7.64,4.13,3.95
LI42,macrocarpa,15.98,2.21,1.4,31.674,1.82,2.15,2.06,1.6,1,3.98,0.03,0.6,0.58,0.64,56.148,12.85,14.4,2,7.78,5.72,4.18
LI43,macrocarpa,11.67,2.38,1.17,24.38,1.95,2.32,2.19,1.51,0.95,3.4,0.05,0.68,0.24,0.63,41.594,12.49,12.58,2,7.62,3.4,4.65
LI44,macrocarpa,15.27,2.07,1.18,30.008,1.66,2,1.97,1.46,1.01,5.53,0.04,0.58,0.16,0.6,55.64,12.94,14.3,3,8.02,4.2,4.03
LI45,macrocarpa,15.35,2.52,1.5,33.848,2.2,2.49,2.3,1.74,1.15,3.92,0.13,0.81,0.53,0.69,49.667,12.69,14.53,3,7.83,2.87,3.65
LI51,macrocarpa,18.71,2.25,1.44,33.591,2.08,2.2,1.92,1.12,0.51,4.75,0.05,0.67,0.87,0.67,55.886,15.21,15.98,3,8.43,4.44,5.06
LI52,macrocarpa,16.8,1.87,1.05,26.331,1.57,1.82,1.68,1.22,0.74,4.88,0.03,0.55,0.33,0.61,43.852,15.6,16.4,3,9.22,4.61,4.89
LI53,macrocarpa,18.22,2.26,1.31,33.363,1.92,2.22,1.99,1.39,0.83,4.28,0.07,0.55,0.24,0.71,53.66,15.19,16.04,3,9.07,4.94,4.89
LI54,macrocarpa,17.51,2.32,1.64,31.932,2.12,2.3,2.06,1.24,0.69,4.11,0.06,0.56,0.66,0.72,51.585,15.99,15.85,3,8.63,4.38,5.88
LI55,macrocarpa,17.31,1.88,1.25,27.467,1.69,1.86,1.73,1.15,0.66,4.84,0.04,0.5,0.33,0.6,50.209,16.26,17.82,3,8.83,3.99,6.53
LI61,macrocarpa,14.66,1.92,1.13,24.632,1.61,1.88,1.79,1.31,0.86,4.09,0.08,0.53,0.59,0.51,44.717,11.97,12.02,2,6.58,3.66,3.65
LI62,macrocarpa,15.12,1.99,1.26,24.807,1.75,1.97,1.83,1.37,0.96,4.79,0.07,0.54,0.43,0.57,44.504,12.14,14.56,2,7.28,4.45,2.93
LI63,macrocarpa,15.3,2.33,1.21,30.507,1.88,2.29,2.29,1.68,1.17,5.39,0.05,0.53,0,0.66,50.888,12.2,13.86,2,7.2,5.04,3.17
LI64,macrocarpa,13.52,2.26,1.3,25.496,1.84,2.22,2.18,1.58,1.04,4.92,0.03,0.55,0,0.59,42.963,12.9,13.81,3,8.06,3.66,3.78
LI65,macrocarpa,12.68,1.67,1.03,21.354,1.57,1.88,1.94,1.44,1.11,4.42,0.01,0.54,0,0.6,34.693,10.8,12.93,3,7.43,3.55,3.85
LI71,macrocarpa,16.88,1.88,1.15,27.664,1.59,1.86,1.8,1.25,0.65,1.87,0.02,0.27,0.92,0.58,53.188,12.61,15.29,3,8.58,4.67,3.89
LI72,macrocarpa,16.66,1.98,1.23,28.111,1.83,1.95,1.76,1.13,0.67,3.26,0.06,0.43,0.51,0.58,43.752,13.82,14.14,2,7.58,5.8,4.49
LI73,macrocarpa,17.89,1.93,1.34,30.924,1.68,1.93,1.86,1.32,0.76,5.73,0.08,0.5,0.79,0.62,46.095,11.51,12.04,3,7.53,3.56,3.45
LI74,macrocarpa,18.1,1.76,1.14,27.557,1.59,1.76,1.66,1.18,0.68,3.94,0.06,0.57,0.9,0.5,49.416,12.48,15.19,3,8.43,5.14,3.9
LI75,macrocarpa,15.65,1.88,1.05,24.452,1.61,1.84,1.75,1.18,0.63,5.22,0.07,0.51,0.9,0.54,37.968,12.65,14.68,3,7.76,4.88,4.21
LI81,macrocarpa,15.88,1.92,1.17,25.501,1.58,1.89,1.77,1.16,0.7,3.72,0.03,0.55,0.46,0.49,43.829,11.53,12.52,3,7.49,3.27,3.64
LI82,macrocarpa,15.42,2.03,1.23,29.442,1.71,1.99,1.86,1.42,0.9,4.55,0.07,0.62,0.41,0.54,57.742,12.68,12.89,3,7.5,4.12,2.81
LI83,macrocarpa,16.33,2.05,1.12,28.349,1.74,2.05,1.84,1.23,0.67,3.85,0.03,0.61,0.45,0.55,44.274,14.2,13.97,3,7.26,4.11,4.31
LI84,macrocarpa,12.52,2.46,2.08,25.908,2.43,2.46,2.12,1.39,0.86,2.65,0.09,0.69,0.34,0.75,44.354,10.14,10.87,2,6.45,4.56,2.44
LI85,macrocarpa,16.17,1.71,1.17,22.19,1.49,1.68,1.61,1.06,0.6,3.95,0,0.51,0.51,0.44,43.27,13.92,12.55,3,8.27,3.9,3.21
LI91,macrocarpa,15.79,1.95,1.2,26.888,1.75,1.97,1.88,1.23,0.74,3.01,0.09,0.55,0.47,0.52,43.338,10.11,11.78,3,7.22,3.63,3.46
LI92,macrocarpa,14.58,1.63,0.96,22.146,1.43,1.6,1.58,1.22,0.8,4.44,0.07,0.53,0,0.38,43.689,10.65,11.63,4,6.69,3.27,3.03
LI93,macrocarpa,18.19,2.14,1.13,33.649,1.79,2.13,2.05,1.43,0.91,4.79,0.06,0.64,0,0.54,45.645,9.67,11.79,3,7.26,4.36,3.25
LI94,macrocarpa,15.62,2.01,1.34,24.698,1.82,2.01,1.8,1.09,0.6,3.76,0.06,0.52,0.52,0.53,41.831,11.43,12.63,4,8.06,4.09,3.65
LI95,macrocarpa,13.51,2.29,1.23,24.601,1.95,2.22,2.02,1.33,0.84,3.51,0.09,0.56,0.28,0.53,42.097,11.14,11.98,4,7.12,3.55,3.79
LI01,macrocarpa,14.73,2.04,1.43,28.17,1.65,1.99,1.92,1.48,1.18,4.59,0.06,0.59,0,0.58,42.214,15.58,12.65,3,7.44,3.66,3.65
LI02,macrocarpa,14.43,1.99,1.25,27.021,1.67,1.92,1.88,1.42,1.07,4.32,0.05,0.63,0,0.57,45.491,14.64,14.32,3,7.9,4.48,3.52
LI03,macrocarpa,13.58,1.89,1.1,23.952,1.4,1.78,1.85,1.41,1.09,5.17,0.04,0.53,0,0.66,42.664,12.22,11.15,1,7.29,5.61,4.3
LI04,macrocarpa,15.58,1.96,1.44,27.566,1.66,1.91,1.85,1.43,1.14,4.17,0.02,0.5,0,0.58,48.285,16.26,14.61,3,7.95,4.85,4.08
LI05,macrocarpa,13.2,1.92,1.23,20.973,1.56,1.87,1.81,1.35,0.98,3.64,0.07,0.54,0,0.57,39.092,16.72,15.38,3,7.65,4.76,3.86