"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Acer campestre","Acer campestre",13.4214285714286,360.5,184.2079463,4741.5,54.3482823529412,"Acer"
"Achillea millefolium","Achillea millefolium",0.3955,185.5,21.7633333333333,411,0.131833333333333,"Achillea"
"Aegopodium podagraria","Aegopodium podagraria",0.558333333333333,230,753.5581651,13500.242,1.68093333333333,"Aegopodium"
"Aethusa cynapium","Aethusa cynapium",0.441666666666667,193.55,118.208577966,3207.7575,1.69492,"Aethusa"
"Agrimonia eupatoria","Agrimonia eupatoria",0.333333333333333,339.5,494.5374473,8461,14.178,"Agrimonia"
"Agrostemma githago","Agrostemma githago",0.66,204.54,57.225,999.75,14.554875,"Agrostemma"
"Agrostis canina","Agrostis canina",0.3,281.985,1.950036232,67,0.0554857142857143,"Agrostis"
"Aira caryophyllea","Aira caryophyllea",0.11,279.666666666667,1.078029614,14.2,0.108,"Aira"
"Ajuga chamaepitys","Ajuga chamaepitys",0.0916666666666667,157.93,3.065,70.5,1.215,"Ajuga"
"Ajuga reptans","Ajuga reptans",0.161666666666667,153,17.36967841,556,1.46519,"Ajuga"
"Alcea rosea","Alcea rosea",1.57,202.64,615,8249,8.94266666666667,"Alcea"
"Alisma lanceolatum","Alisma lanceolatum",0.275,118.25,64.3655555555556,1774.8,0.3843,"Alisma"
"Alisma plantago-aquatica","Alisma plantago-aquatica",0.325,135.03,516.259252275,11979.4166666667,0.382625,"Alisma"
"Alliaria petiolata","Alliaria petiolata",0.45,161.333333333333,213.937010866667,7514,2.348,"Alliaria"
"Allium carinatum","Allium carinatum",0.225,111.11,44,1280,1.2937777775,"Allium"
"Allium sphaerocephalon","Allium sphaerocephalon",0.225,134.51,342.43,1940.63,1.46266666666667,"Allium"
"Allium ursinum","Allium ursinum",0.275,114.333333333333,196.761776666667,6656.66666666667,5.3948,"Allium"
"Allium vineale","Allium vineale",0.25,170.5,101.166029705,1195,7.504,"Allium"
"Alopecurus myosuroides","Alopecurus myosuroides",0.3,272,21.48647482,547,2.15047619042857,"Alopecurus"
"Alopecurus pratensis","Alopecurus pratensis",0.45,308.06,43.430614195,1088.125,0.658,"Alopecurus"
"Althaea officinalis","Althaea officinalis",0.71625,205.345,173.995,4066.625,5.647,"Althaea"
"Amaranthus caudatus","Amaranthus caudatus",0.715,174.74,200.505,4117.22,0.669,"Amaranthus"
"Amaranthus retroflexus","Amaranthus retroflexus",0.451666666666667,222.8025,265.49,3602.75,0.462666666666667,"Amaranthus"
"Ammi majus","Ammi majus",0.395,141.943333333333,2.27333333333333,77.6666666666667,0.615166666666667,"Ammi"
"Anemone nemorosa","Anemone nemorosa",0.138333333333333,205,123.871023095,3003,2.1444,"Anemone"
"Angelica sylvestris","Angelica sylvestris",0.783333333333333,220,1531.2,40902,2.42144444444444,"Angelica"
"Anthemis arvensis","Anthemis arvensis",0.285,139.99,11.2233333333333,373.645,0.7576725,"Anthemis"
"Anthemis cotula","Anthemis cotula",0.285,107,6.168481375,138,0.4542,"Anthemis"
"Anthericum liliago","Anthericum liliago",0.3,162.63,180.665,3337.25,5.56125,"Anthericum"
"Anthriscus caucalis","Anthriscus caucalis",0.36,193.738,114.076814835714,3649.4,1.1758,"Anthriscus"
"Anthyllis vulneraria","Anthyllis vulneraria",0.2,170,63.29470563,1007,3.25339166666667,"Anthyllis"
"Antirrhinum majus","Antirrhinum majus",0.425,165,26.46061644,303,0.1156,"Antirrhinum"
"Aphanes arvensis","Aphanes arvensis",0.085,264,2.341736695,38,0.21576,"Aphanes"
"Arabidopsis thaliana","Arabidopsis thaliana",0.133333333333333,103.5,9.642721352,281,0.02088,"Arabidopsis"
"Arabis hirsuta","Arabis hirsuta",0.323333333333333,166,15.75671642,374,0.0979076923076923,"Arabis"
"Arabis sagittata","Arabis sagittata",0.425,143.525,15.8725,269.675,0.1,"Arabis"
"Arctium lappa","Arctium lappa",1.085,195.363333333333,1542.788,25226.8333333333,13.02328,"Arctium"
"Arctium minus","Arctium minus",0.7,177.333333333333,4104.936905,117000,12.0397523809524,"Arctium"
"Arenaria serpyllifolia","Arenaria serpyllifolia",0.165,219.18,0.654718250666667,13.1833333333333,0.0671106060454545,"Arenaria"
"Aristolochia clematitis","Aristolochia clematitis",0.4,272.3,509.85,8534.625,32.43675,"Aristolochia"
"Arrhenatherum elatius","Arrhenatherum elatius",1.275,291.316666666667,30.654063375,1223,3.07949333333333,"Arrhenatherum"
"Artemisia absinthium","Artemisia absinthium",0.825,220.5,99.43251888,2475.5,0.106057777777778,"Artemisia"
"Artemisia annua","Artemisia annua",0.95,220.88,30.1675,639.692833333333,0.03,"Artemisia"
"Artemisia vulgaris","Artemisia vulgaris",1.4,258,255.2913636,3914.42633333333,0.144933333333333,"Artemisia"
"Arum maculatum","Arum maculatum",0.2425,117.666666666667,317.9066447,10496.6666666667,72.6432533333333,"Arum"
"Asparagus officinalis","Asparagus officinalis",0.9,280.26,3.595,27.335,40.8633666666667,"Asparagus"
"Astragalus glycyphyllos","Astragalus glycyphyllos",0.575,272.5,115.581532135,2720.5,5.15003333333333,"Astragalus"
"Atriplex prostrata","Atriplex prostrata",0.95,144.333333333333,139.77941404,2670.66666666667,2.15622,"Atriplex"
"Avena barbata","Avena barbata",0.18,237.666666666667,0.00482,119,7.92272095242857,"Avena"
"Avena fatua","Avena fatua",0.75,242,320.3024483,5227.5,22.1845,"Avena"
"Avena sterilis","Avena sterilis",0.27,192.73,17.32,560.75,59.232,"Avena"
"Avena strigosa","Avena strigosa",1.54,201.94,69.965,1978,7.44866666666667,"Avena"
"Baldellia ranunculoides","Baldellia ranunculoides",0.125,139,19.6,427,0.426933333333333,"Baldellia"
"Ballota nigra","Ballota nigra",0.625,222,38.35214076,717,0.85785,"Ballota"
"Barbarea vulgaris","Barbarea vulgaris",0.525,174,150.325324805,4750.5,0.606666666666667,"Barbarea"
"Bellis perennis","Bellis perennis",0.055,113.5,11.62723288,359,0.14152,"Bellis"
"Berula erecta","Berula erecta",0.475,96.475,160.63352494,3582.875,0.69945,"Berula"
"Beta vulgaris","Beta vulgaris",1.4,167,751.7,18496,20.4113590243902,"Beta"
"Bidens frondosa","Bidens frondosa",0.525,174.6,110.41,4176,8.66097142857143,"Bidens"
"Bidens tripartita","Bidens tripartita",0.525,152.16,74.7110556533333,2417.08333333333,2.43494,"Bidens"
"Blackstonia perfoliata","Blackstonia perfoliata",0.221666666666667,223.065,18.5374196233333,453.75,0.009,"Blackstonia"
"Borago officinalis","Borago officinalis",0.31,144.74,154.525,3946,15.766,"Borago"
"Brachypodium sylvaticum","Brachypodium sylvaticum",0.825,308.47,20.4262208941667,3886.54545454545,2.78525454545455,"Brachypodium"
"Brassica nigra","Brassica nigra",0.735,128.22,252.94,6916.8,1.32608571428571,"Brassica"
"Brassica rapa","Brassica rapa",0.598333333333333,141.396666666667,135.13456938,3315.66666666667,2.1388,"Brassica"
"Briza media","Briza media",0.165,298.035,26.9652498225,644,0.40112222225,"Briza"
"Bromus arvensis","Bromus arvensis",0.332,271.46,40.63,1085,2.62566666666667,"Bromus"
"Bromus commutatus","Bromus commutatus",0.5,221.25,31.3225,920.875,5.2019,"Bromus"
"Bromus madritensis","Bromus madritensis",0.19,165.83,2.5543175,156.416666666667,2.56333333333333,"Bromus"
"Bromus sterilis","Bromus sterilis",0.375,230.75,15.2497606843333,467.333333333333,7.4854,"Bromus"
"Buddleja davidii","Buddleja davidii",1.83333333333333,229.743333333333,77.285,2971.25,0.0567,"Buddleja"
"Butomus umbellatus","Butomus umbellatus",0.8,120.313333333333,529.97,5805.83333333333,0.1716,"Butomus"
"Cakile maritima","Cakile maritima",0.208333333333333,88.6266666666667,74.94,885.75,22.4189333333333,"Cakile"
"Calamagrostis epigejos","Calamagrostis epigejos",1,400.033333333333,258.194429533333,4994.5,0.0797333334,"Calamagrostis"
"Calendula arvensis","Calendula arvensis",0.15,93.24,40.83,948,3.585,"Calendula"
"Callitriche palustris","Callitriche palustris",0.00875,108.82,0.595,58.125,0.076,"Callitriche"
"Calystegia sepium","Calystegia sepium",1.2875,184,90.88484689,3208,30.272,"Calystegia"
"Calystegia silvatica","Calystegia silvatica",2,224,133.9542354,3092,37.133,"Calystegia"
"Campanula rapunculus","Campanula rapunculus",0.5,162.5,12.06,617.5,0.0333333333333333,"Campanula"
"Campanula trachelium","Campanula trachelium",0.6,159,92.24660086,3601,0.231155555555556,"Campanula"
"Cannabis sativa","Cannabis sativa",1.2,238.99,193.23,4865.875,6.4,"Cannabis"
"Capsella bursa-pastoris","Capsella bursa-pastoris",0.126666666666667,147.3775,60.8887573225,1842.66666666667,0.0985154545454545,"Capsella"
"Cardamine amara","Cardamine amara",0.241666666666667,125.666666666667,48.7516437433333,2515.33333333333,0.258,"Cardamine"
"Cardamine bulbifera","Cardamine bulbifera",0.3975,149.565,52.8925,2207,2.7,"Cardamine"
"Cardamine flexuosa","Cardamine flexuosa",0.216666666666667,129,12.33047046,661,0.122355555555556,"Cardamine"
"Cardamine heptaphylla","Cardamine heptaphylla",0.375,137.07,700,28081.25,6.02,"Cardamine"
"Cardamine hirsuta","Cardamine hirsuta",0.118333333333333,126,11.217289988,337,0.1076,"Cardamine"
"Cardamine impatiens","Cardamine impatiens",0.358333333333333,311,7.080032733,239,0.278133333333333,"Cardamine"
"Cardamine parviflora","Cardamine parviflora",0.125,164.27,2.56,75.575,0.106,"Cardamine"
"Carduus nutans","Carduus nutans",0.6,127.666666666667,286.832203133333,4599,3.23571428571429,"Carduus"
"Carex acuta","Carex acuta",0.9,331.79,132.83,2455.25,0.424666666666667,"Carex"
"Carex acutiformis","Carex acutiformis",0.75,333.43,430.7,7035,0.864166666666667,"Carex"
"Carex caryophyllea","Carex caryophyllea",0.09,310,16.593646155,387.5,1.2992,"Carex"
"Carex digitata","Carex digitata",0.1,274.155,15.652912825,480.25,1.445,"Carex"
"Carex distans","Carex distans",0.2,303.985,13.5433333333333,265.25,1.43814285714286,"Carex"
"Carex divulsa","Carex divulsa",0.275,105,42.36,1403.7,1.57537142857143,"Carex"
"Carex echinata","Carex echinata",0.25,365.5,15.3740942045,218,0.744788235294118,"Carex"
"Carex elata","Carex elata",0.9,344.07,280.38,2693.25,0.75559,"Carex"
"Carex extensa","Carex extensa",0.135,320.49,11.52,101.25,1.24503333333333,"Carex"
"Carex flacca","Carex flacca",0.275,332.9625,34.84894372,634.75,1.01511818181818,"Carex"
"Carex hirta","Carex hirta",0.45,291.2125,74.826634202,1718.5625,2.8165,"Carex"
"Carex pallescens","Carex pallescens",0.325,264.57,14.635,526.5,1.25258333333333,"Carex"
"Carex pendula","Carex pendula",0.5,301.5,1029.6398723,12540,0.721809090909091,"Carex"
"Carex pilulifera","Carex pilulifera",0.1,328,10.26045949,209,1.22661290322222,"Carex"
"Carex pseudocyperus","Carex pseudocyperus",0.35,308.56,157.67,3788,0.728615384615385,"Carex"
"Carex punctata","Carex punctata",0.14,323.97,27.08,758,1.01422857142857,"Carex"
"Carex remota","Carex remota",0.45,254,12.81434932,318,0.371945454545455,"Carex"
"Carex riparia","Carex riparia",1.05,326.64,1187.015,14070.25,1.99093333333333,"Carex"
"Carex rostrata","Carex rostrata",0.5,245.88,76.815,1182.5,1.18026666666667,"Carex"
"Carex spicata","Carex spicata",0.275,249.633333333333,16.29,324.333333333333,2.38878,"Carex"
"Carex strigosa","Carex strigosa",0.625,160.94,76.005,2395.875,0.5492,"Carex"
"Carex sylvatica","Carex sylvatica",0.425,324,29.75434925,677,1.66395384615385,"Carex"
"Carex vesicaria","Carex vesicaria",0.55,320.11,99.85,1222,1.39118888888889,"Carex"
"Carlina acaulis","Carlina acaulis",0.31,183.38,391.485,4001.14,4.08333333333333,"Carlina"
"Carpinus betulus","Carpinus betulus",17.875,258.685,62.93,2268.52,41.8153142857143,"Carpinus"
"Carthamus tinctorius","Carthamus tinctorius",0.8275,145.99,136.45,1930.5,26.152,"Carthamus"
"Centaurea calcitrapa","Centaurea calcitrapa",0.35,165.83,73.14,1669,2.3032,"Centaurea"
"Centaurea nigra","Centaurea nigra",0.425,154.333333333333,132.657338776667,3440,2.49422857142857,"Centaurea"
"Centaurea solstitialis","Centaurea solstitialis",0.64,183.82,36.115,961.25,1.682,"Centaurea"
"Centaurium erythraea","Centaurium erythraea",0.14125,259.833333333333,11.9113359736667,251.5,0.0127692307692308,"Centaurium"
"Centaurium pulchellum","Centaurium pulchellum",0.0633333333333333,184.38,0.25,16.83,0.0128111111111111,"Centaurium"
"Centranthus ruber","Centranthus ruber",0.433333333333333,138.41,130.3674311,3105.625,2.0025,"Centranthus"
"Cephalanthera damasonium","Cephalanthera damasonium",0.35,166.065,55.2666666666667,1607.25,0.005,"Cephalanthera"
"Cerastium glomeratum","Cerastium glomeratum",0.145,155.235,6.92513087175,176.666666666667,0.053294,"Cerastium"
"Cerastium pumilum","Cerastium pumilum",0.045,120.28,0.755,21.25,0.0662,"Cerastium"
"Cerastium semidecandrum","Cerastium semidecandrum",0.06,184.333333333333,1.641782751,32,0.0369536363636364,"Cerastium"
"Chaerophyllum bulbosum","Chaerophyllum bulbosum",0.85,264.21,477.82,7812.23,2.13333333333333,"Chaerophyllum"
"Chaerophyllum temulum","Chaerophyllum temulum",0.491666666666667,249,783.1828877,20341,2.73757894736842,"Chaerophyllum"
"Chelidonium majus","Chelidonium majus",0.466666666666667,186.5,240.14783215,9226,0.74,"Chelidonium"
"Chenopodium album","Chenopodium album",0.483333333333333,164.333333333333,148.549258353333,2390,0.647,"Chenopodium"
"Chondrilla juncea","Chondrilla juncea",0.5,216.62,23.615,301.25,0.671,"Chondrilla"
"Cichorium intybus","Cichorium intybus",0.625,136,556.1217391,17537,1.77817333333333,"Cichorium"
"Circaea lutetiana","Circaea lutetiana",0.308333333333333,193.5,69.448388015,2643,1.79549090909091,"Circaea"
"Cirsium arvense","Cirsium arvense",0.8625,141.656666666667,190.5354895,3857.5,1.24554444444444,"Cirsium"
"Cirsium vulgare","Cirsium vulgare",0.9,140.718,772.965,11035.5,2.477741666625,"Cirsium"
"Clematis vitalba","Clematis vitalba",20,238,181.9306757,5633,2.61067654318519,"Clematis"
"Clinopodium vulgare","Clinopodium vulgare",0.375,258,44.77825051,1055,0.425483333333333,"Clinopodium"
"Conium maculatum","Conium maculatum",2.075,213.55,1656.91385666667,54419.815,2.3524,"Conium"
"Convolvulus arvensis","Convolvulus arvensis",0.2626,172.5,40.729062745,1124.75,12.4924,"Convolvulus"
"Coriandrum sativum","Coriandrum sativum",0.46,139.535,24.0275,1166.75,10.3166666666667,"Coriandrum"
"Cornus mas","Cornus mas",3.5,216.955,63.4175,1884.57,487.533333333333,"Cornus"
"Crataegus laevigata","Crataegus laevigata",6,349.89,37.4375,730,275.9989,"Crataegus"
"Crepis biennis","Crepis biennis",0.575,132.5,189.01499035,6087.5,1.3082,"Crepis"
"Crepis capillaris","Crepis capillaris",0.275,125.666666666667,51.79898105,1585.66666666667,0.215039166666667,"Crepis"
"Crepis vesicaria","Crepis vesicaria",0.41,167.22,61.2733333333333,1080.5,0.38537,"Crepis"
"Crithmum maritimum","Crithmum maritimum",0.225,92,24.76510501,268,2.10536666666667,"Crithmum"
"Cruciata laevipes","Cruciata laevipes",0.283333333333333,232.666666666667,2.96324171733333,89.6666666666667,4.4628,"Cruciata"
"Cymbalaria muralis","Cymbalaria muralis",0.25,85,29.256895065,875.5,0.123,"Cymbalaria"
"Cynodon dactylon","Cynodon dactylon",0.11,224.17,4.89666666666667,116.25,0.13925,"Cynodon"
"Cynosurus cristatus","Cynosurus cristatus",0.546666666666667,247.163333333333,11.5967224085,347.333333333333,0.547476923076923,"Cynosurus"
"Cyperus longus","Cyperus longus",0.56,241.33,55.57,1247,0.063,"Cyperus"
"Dactylis glomerata","Dactylis glomerata",0.454,262.5,49.902292548,1449,0.9114225,"Dactylis"
"Danthonia decumbens","Danthonia decumbens",0.1,338.635,14.61016854,378,1.4583,"Danthonia"
"Daphne laureola","Daphne laureola",0.725,276.41,161.84,1518.5,103.4,"Daphne"
"Daphne mezereum","Daphne mezereum",0.7625,186.5,24.1,340.9,43.9,"Daphne"
"Datura stramonium","Datura stramonium",1.375,132.235,667.1875,14739.875,9.03373333333333,"Datura"
"Deschampsia cespitosa","Deschampsia cespitosa",0.4325,337.294,32.495170197619,342.333958333333,0.211112280710526,"Deschampsia"
"Digitalis lutea","Digitalis lutea",0.3,171.68,162.49,3647,0.1,"Digitalis"
"Digitaria ischaemum","Digitaria ischaemum",0.16,165.18,7.37666666666667,109.875,0.748,"Digitaria"
"Digitaria sanguinalis","Digitaria sanguinalis",0.19,170.2,8.625,290.25,0.97,"Digitaria"
"Diplotaxis muralis","Diplotaxis muralis",0.17,139.775,33.93,710.5,0.209333333333333,"Diplotaxis"
"Diplotaxis tenuifolia","Diplotaxis tenuifolia",0.35,113,113.47877698,2296,0.2836,"Diplotaxis"
"Dipsacus fullonum","Dipsacus fullonum",0.9,167,1118.242889,23937,2.70928571428571,"Dipsacus"
"Drosera intermedia","Drosera intermedia",0.035,176.435,0.84,22.04,0.0288,"Drosera"
"Drosera rotundifolia","Drosera rotundifolia",0.0825,134.865,2.17,86.75,0.0176076923076923,"Drosera"
"Echinochloa crus-galli","Echinochloa crus-galli",0.575,189.795,76.90086949,2264.625,2.33476923076923,"Echinochloa"
"Echium vulgare","Echium vulgare",0.433333333333333,142,282.5035784,4523,2.959325,"Echium"
"Eleocharis multicaulis","Eleocharis multicaulis",0.3,282.55,22.72,172.5,0.5912,"Eleocharis"
"Eleusine indica","Eleusine indica",0.1,222.53,11.83,288.25,0.456,"Eleusine"
"Elymus repens","Elymus repens",0.75,273.0475,85.637022682,2361.66666666667,2.37525,"Elymus"
"Epilobium hirsutum","Epilobium hirsutum",1.03333333333333,208,130.14080997,2833,0.127777777777778,"Epilobium"
"Epilobium montanum","Epilobium montanum",0.35,229.333333333333,91.7561712033333,2187,0.1267,"Epilobium"
"Epilobium parviflorum","Epilobium parviflorum",0.433333333333333,160.333333333333,24.9194993,779,0.079411111,"Epilobium"
"Eragrostis minor","Eragrostis minor",0.125,237.126666666667,3.015,118.09,0.092,"Eragrostis"
"Erodium cicutarium","Erodium cicutarium",0.6,201.4025,60.198095238,1742.5,1.40968571428571,"Erodium"
"Erodium moschatum","Erodium moschatum",0.425,117.425,315.3625,8537.49,1.00548,"Erodium"
"Eryngium campestre","Eryngium campestre",0.28125,236.3075,3445.1425,32000.42,1.37167142857143,"Eryngium"
"Eryngium maritimum","Eryngium maritimum",0.308333333333333,136.15,707.8625,6625.63,24.7152,"Eryngium"
"Eupatorium cannabinum","Eupatorium cannabinum",1,202,284.17470285,6438.5,0.32999,"Eupatorium"
"Euphorbia amygdaloides","Euphorbia amygdaloides",0.3675,286.04,13.345,312.75,4.18776,"Euphorbia"
"Euphorbia dulcis","Euphorbia dulcis",0.3,238.54,12.26,420,2.121,"Euphorbia"
"Euphorbia esula","Euphorbia esula",0.425,221.935,3.33666666666667,111.625,3.49266666666667,"Euphorbia"
