"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","genus"
"Polygonatum odoratum","Polygonatum odoratum",0.3,167.22,86.835,2270,264.304333333333,"Polygonatum"
"Polygonatum verticillatum","Polygonatum verticillatum",0.42,147.63,24.28,1003,66.47416665,"Polygonatum"
"Polygonum aviculare","Polygonum aviculare",1.1375,207.5,13.0084166415,361.5,1.82,"Polygonum"
"Populus nigra","Populus nigra",25,304.965,240.4625,2784.625,0.8,"Populus"
"Populus tremula","Populus tremula",19.5,369.835,165.02125,2513.3125,0.1,"Populus"
"Portulaca oleracea","Portulaca oleracea",0.166666666666667,108.92,1.395,25.725,0.33592,"Portulaca"
"Potentilla erecta","Potentilla erecta",0.166666666666667,303.956666666667,5.734158679,148.5,0.4821375,"Potentilla"
"Potentilla reptans","Potentilla reptans",0.358333333333333,240.6475,53.724764885,2176.5,0.271025,"Potentilla"
"Primula veris","Primula veris",0.133333333333333,214.666666666667,245.141161463333,4080.66666666667,0.803173333333333,"Primula"
"Primula vulgaris","Primula vulgaris",0.115,154,224.4014594,6409,1.13632,"Primula"
"Prunella vulgaris","Prunella vulgaris",0.123333333333333,164.37,16.108351258,675.333333333333,0.688757142857143,"Prunella"
"Prunus mahaleb","Prunus mahaleb",5,288.81,34.215,753.4,87.7,"Prunus"
"Pulicaria dysenterica","Pulicaria dysenterica",0.45,142.5,39.326361505,1199.5,0.0895,"Pulicaria"
"Radiola linoides","Radiola linoides",0.03875,232.595,0.133333333333333,3.22,0.01185,"Radiola"
"Ranunculus acris","Ranunculus acris",0.2575,197.05,36.8880126526316,620.705161290323,1.72743,"Ranunculus"
"Ranunculus arvensis","Ranunculus arvensis",0.308333333333333,139,21.02608696,576,12.6125666666667,"Ranunculus"
"Ranunculus bulbosus","Ranunculus bulbosus",0.175,188.333333333333,55.8249725833333,1081.33333333333,2.86775396828571,"Ranunculus"
"Ranunculus flammula","Ranunculus flammula",0.215,173.91,33.40150528,656.583333333333,0.4472,"Ranunculus"
"Ranunculus lanuginosus","Ranunculus lanuginosus",0.425,153.62,236.14,5917.375,1.3,"Ranunculus"
"Ranunculus lingua","Ranunculus lingua",0.8175,196.3,173.53,2416.75,1.70236666666667,"Ranunculus"
"Ranunculus repens","Ranunculus repens",0.241666666666667,181.104,193.94,3593.55555555556,2.24169696972727,"Ranunculus"
"Ranunculus sardous","Ranunculus sardous",0.166666666666667,125.11,21.235,734.5,1.38412,"Ranunculus"
"Ranunculus sceleratus","Ranunculus sceleratus",0.258333333333333,123.04,39.0731315533333,1115.375,0.130333333333333,"Ranunculus"
"Raphanus raphanistrum","Raphanus raphanistrum",0.32,120,286.623364713333,6127.33333333333,26.23965,"Raphanus"
"Rapistrum rugosum","Rapistrum rugosum",0.5125,177,28.3,651,3.13,"Rapistrum"
"Reseda alba","Reseda alba",0.45,127.505,56.8495701333333,1692.625,0.562,"Reseda"
"Reseda lutea","Reseda lutea",0.366666666666667,155.333333333333,59.3915360233333,1090,0.677133333333333,"Reseda"
"Reseda luteola","Reseda luteola",0.6925,166.4425,58.982271808,1097.125,0.292012121181818,"Reseda"
"Rhynchospora alba","Rhynchospora alba",0.25,334.91,16.09,288,0.44684,"Rhynchospora"
"Rorippa amphibia","Rorippa amphibia",0.625,110,320.3,12853,1.873,"Rorippa"
"Rorippa sylvestris","Rorippa sylvestris",0.283333333333333,106.5,39.464452345,1154.33333333333,0.0939222222222222,"Rorippa"
"Rosa agrestis","Rosa agrestis",1.33333333333333,376.105,32.785,337.65,18.7504,"Rosa"
"Rubia peregrina","Rubia peregrina",0.381333333333333,226.946666666667,26.85598549,303,19.9590666666667,"Rubia"
"Rubus caesius","Rubus caesius",0.475,386.666666666667,553.580980866667,9655.33333333333,3.7628451,"Rubus"
"Rumex acetosa","Rumex acetosa",0.505,102.11,128.532104972,2014.9275,0.944641666666667,"Rumex"
"Rumex acetosella","Rumex acetosella",0.15,113.932,9.713070759,204.666666666667,0.36007,"Rumex"
"Rumex conglomeratus","Rumex conglomeratus",0.725,179,190.2946116,4190,0.899563157894737,"Rumex"
"Rumex crispus","Rumex crispus",0.641666666666667,105,239.6959134,6290,2.32424285714286,"Rumex"
"Rumex maritimus","Rumex maritimus",0.625,135.845,215.54662385,5718,0.2308625,"Rumex"
"Rumex obtusifolius","Rumex obtusifolius",0.508333333333333,145.763333333333,1449.891121,43260.25,1.155,"Rumex"
"Rumex sanguineus","Rumex sanguineus",0.7875,202,188.9898072,4734,1.06821,"Rumex"
"Sagina apetala","Sagina apetala",0.04,238.666666666667,0.321621621666667,4.66666666666667,0.0125278571428571,"Sagina"
"Sagina procumbens","Sagina procumbens",0.13,217,0.425,8,0.0157037036666667,"Sagina"
"Sagittaria sagittifolia","Sagittaria sagittifolia",0.42,106.134,354.65,6404.9,1.55783333333333,"Sagittaria"
"Salix alba","Salix alba",15.1666666666667,298.615,63.3575,782.125,0.12,"Salix"
"Salix cinerea","Salix cinerea",2.75,438.765,152.705,662.875,0.067,"Salix"
"Salsola kali","Salsola kali",0.5125,86.74,6.835,62.5,5.8276,"Salsola"
"Salvia glutinosa","Salvia glutinosa",0.475,102.89,213.42,11482.75,4.682,"Salvia"
"Salvia officinalis","Salvia officinalis",0.375,239.133333333333,53.898,916.833333333333,6.58,"Salvia"
"Sambucus ebulus","Sambucus ebulus",0.85,173.85,978.51908015,18801.25,63.6874,"Sambucus"
"Samolus valerandi","Samolus valerandi",0.195,169.81,9.2025,191.75,0.0257714285714286,"Samolus"
"Sanicula europaea","Sanicula europaea",0.275,198,70.91322567,2414,2.87321071428571,"Sanicula"
"Saponaria officinalis","Saponaria officinalis",0.458333333333333,199.5,108.266890165,2165.5,1.51482807015789,"Saponaria"
"Saxifraga tridactylites","Saxifraga tridactylites",0.0483333333333333,117.88,2.12245614033333,38,0.01372,"Saxifraga"
"Scabiosa columbaria","Scabiosa columbaria",0.283333333333333,171.333333333333,244.462171073333,5293.33333333333,1.95181818181818,"Scabiosa"
"Scandix pecten-veneris","Scandix pecten-veneris",0.233333333333333,128.12,31.27,835.77,12.90062,"Scandix"
"Schoenus nigricans","Schoenus nigricans",0.3,383.546666666667,134.3575,749.166666666667,0.6411125,"Schoenus"
"Scilla bifolia","Scilla bifolia",0.15,78.61,53.45,2376.75,9.55,"Scilla"
"Scleranthus annuus","Scleranthus annuus",0.09,135.515,0.633333333333333,9.935,1.38269473684211,"Scleranthus"
"Scrophularia auriculata","Scrophularia auriculata",0.366666666666667,137,743.865842466667,15875.6666666667,0.09892,"Scrophularia"
"Scrophularia canina","Scrophularia canina",0.3,165.21,21.045,347.26,0.233333333333333,"Scrophularia"
"Scrophularia nodosa","Scrophularia nodosa",0.583333333333333,182,313.5979769,8166,0.0952,"Scrophularia"
"Scutellaria galericulata","Scutellaria galericulata",0.241666666666667,211.043333333333,16.106093345,640.416666666667,0.689433333285714,"Scutellaria"
"Sedum album","Sedum album",0.095,49.96,1.63,23.5,0.02,"Sedum"
"Sedum cepaea","Sedum cepaea",0.13,53.08,1.37,30.33,0.037,"Sedum"
"Sedum dasyphyllum","Sedum dasyphyllum",0.045,25.24,0.82,19.33,0.026,"Sedum"
"Sedum sexangulare","Sedum sexangulare",0.1575,108.18,0.5,6.19,0.01,"Sedum"
"Senecio inaequidens","Senecio inaequidens",0.6,184.28,11.66,281.375,0.278533333333333,"Senecio"
"Senecio sylvaticus","Senecio sylvaticus",0.375,114,180.9838344,5336,0.241066666666667,"Senecio"
"Senecio vulgaris","Senecio vulgaris",0.2,84,17.58510305,513,0.269,"Senecio"
"Serratula tinctoria","Serratula tinctoria",0.5,190.693333333333,165.05529038,4699.35,2.72874,"Serratula"
"Setaria italica","Setaria italica",0.785,206.32,235.805,5638.5,2.967,"Setaria"
"Setaria pumila","Setaria pumila",0.46,216.37,75.09,1890.75,1.76825,"Setaria"
"Setaria viridis","Setaria viridis",0.5125,274.61,40.7433333333333,1000.75,1.09228571428571,"Setaria"
"Sherardia arvensis","Sherardia arvensis",0.133333333333333,188.5,0.545879121,12.5,1.79741181818182,"Sherardia"
"Silene dioica","Silene dioica",0.5632,112,73.28121435,3533,0.7729775,"Silene"
"Silene gallica","Silene gallica",0.265,131.18,11.83,449,0.32874125,"Silene"
"Silene latifolia","Silene latifolia",0.475,142.5,78.064886605,1762.5,0.964555555555556,"Silene"
"Silene otites","Silene otites",0.291666666666667,227.305,21.195,170,0.210666666666667,"Silene"
"Silene vulgaris","Silene vulgaris",0.27,166,63.76327682,1179.5,0.939154074066667,"Silene"
"Sinapis alba","Sinapis alba",0.385,141.095,84.21,2316,3.85288,"Sinapis"
"Sinapis arvensis","Sinapis arvensis",0.383333333333333,109.666666666667,326.701141876667,9290.66666666667,2.34714761904762,"Sinapis"
"Sisymbrium officinale","Sisymbrium officinale",0.416666666666667,139,230.985814786667,6344.33333333333,0.270333333333333,"Sisymbrium"
"Smyrnium olusatrum","Smyrnium olusatrum",0.75,155,172.7079101,6838,27.7377,"Smyrnium"
"Solanum dulcamara","Solanum dulcamara",0.866666666666667,170.561666666667,82.3569254,1903.25833333333,29.892110294125,"Solanum"
"Solidago virgaurea","Solidago virgaurea",0.5,227,94.48678888,2302.5,0.6059,"Solidago"
"Sonchus arvensis","Sonchus arvensis",0.875,138.666666666667,549.532790933333,12192,0.79525,"Sonchus"
"Sonchus asper","Sonchus asper",0.475,123.666666666667,216.369764033333,5417.33333333333,0.280333333363636,"Sonchus"
"Sonchus oleraceus","Sonchus oleraceus",1.075,118.5,341.1361911,10611.5,0.325,"Sonchus"
"Sparganium erectum","Sparganium erectum",0.375,147.033333333333,918.5615297,13862,18.3422,"Sparganium"
"Spergula arvensis","Spergula arvensis",0.2,145,1.6935855265,11.5,0.346436363636364,"Spergula"
"Spergularia media","Spergularia media",0.175,108.655,0.795,20.875,0.1,"Spergularia"
"Spergularia rubra","Spergularia rubra",0.106666666666667,135,0.82173913,14,0.0324090909090909,"Spergularia"
"Stachys arvensis","Stachys arvensis",0.15,171,7.3076419215,217.5,0.7227,"Stachys"
"Stachys recta","Stachys recta",0.325,210.805,25.265,740.5,1.708,"Stachys"
"Stellaria media","Stellaria media",0.166666666666667,84,8.7462351015,488,0.3852,"Stellaria"
"Stellaria neglecta","Stellaria neglecta",0.433333333333333,84,5.9302861625,416,0.847466666666667,"Stellaria"
"Suaeda maritima","Suaeda maritima",0.16,84.2525,2.574,32.25,0.798933333333333,"Suaeda"
"Symphytum officinale","Symphytum officinale",0.566666666666667,81.73,342.17,8816.25,8.3244,"Symphytum"
"Symphytum tuberosum","Symphytum tuberosum",0.258333333333333,115.37,84.29,2990.66666666667,6.2392857,"Symphytum"
"Syringa vulgaris","Syringa vulgaris",6,327.285,275.31,2339.16666666667,5.38454545454545,"Syringa"
"Tanacetum corymbosum","Tanacetum corymbosum",0.675,200.425,61.1875,1093.88,0.51,"Tanacetum"
"Tanacetum parthenium","Tanacetum parthenium",0.29,172,125.5838601,4563,0.109028571428571,"Tanacetum"
"Tanacetum vulgare","Tanacetum vulgare",0.825,221,427.99081735,8376,0.293024,"Tanacetum"
"Teucrium chamaedrys","Teucrium chamaedrys",0.14,305.71,7.59,134,1.22,"Teucrium"
"Teucrium montanum","Teucrium montanum",0.2,264.12,2.455,45,0.776,"Teucrium"
"Teucrium scordium","Teucrium scordium",0.25,162.91,5.555,202,0.52502,"Teucrium"
"Teucrium scorodonia","Teucrium scorodonia",0.25,378.5,87.47340247,939,0.875138461538462,"Teucrium"
"Thalictrum aquilegiifolium","Thalictrum aquilegiifolium",0.675,205.36,1340,44940,2,"Thalictrum"
"Thalictrum flavum","Thalictrum flavum",0.6,246,1133.827826,32542.5,1.40413,"Thalictrum"
"Tilia platyphyllos","Tilia platyphyllos",30,206.195,160.91,6034.25,146.54,"Tilia"
"Tordylium maximum","Tordylium maximum",0.7175,222.255,299.28,8778.25,2.8844,"Tordylium"
"Torilis arvensis","Torilis arvensis",0.55,196.49,38.025,984.5,2.298,"Torilis"
"Torilis japonica","Torilis japonica",0.441666666666667,280.666666666667,138.95686189,3936.66666666667,1.77816666666667,"Torilis"
"Torilis nodosa","Torilis nodosa",0.3625,331.7,4.705,65.5,1.4888,"Torilis"
"Tragopogon dubius","Tragopogon dubius",0.425,198.33,12,321.5,8.244,"Tragopogon"
"Tragopogon porrifolius","Tragopogon porrifolius",0.57,155.17,46.39,1398.57,13.9911333333333,"Tragopogon"
"Tragopogon pratensis","Tragopogon pratensis",0.35,188.5,82.326555245,1507.5,10.3430375,"Tragopogon"
"Trifolium arvense","Trifolium arvense",0.146666666666667,296.07,11.9355379575,233,0.328710833333333,"Trifolium"
"Trifolium campestre","Trifolium campestre",0.2875,250.25,6.03144394166667,180.666666666667,0.331452142857143,"Trifolium"
"Trifolium dubium","Trifolium dubium",0.225,199.5,4.165833614,135.5,0.467240217391304,"Trifolium"
"Trifolium fragiferum","Trifolium fragiferum",0.1875,223.073333333333,7.165360825,192,2.11377,"Trifolium"
"Trifolium hybridum","Trifolium hybridum",0.35,239.91,68.0123642057143,1675.95,1.01908333325,"Trifolium"
"Trifolium incarnatum","Trifolium incarnatum",0.358333333333333,186.63,67.3725,1841.625,2.8131,"Trifolium"
"Trifolium medium","Trifolium medium",0.4,263,65.74024296,1437,2.1266,"Trifolium"
"Trifolium micranthum","Trifolium micranthum",0.0516666666666667,199.51,0.8,23,0.3264,"Trifolium"
"Trifolium pratense","Trifolium pratense",0.283333333333333,223.3975,32.58394007,715.5,1.58055555555556,"Trifolium"
"Trifolium repens","Trifolium repens",0.35,185.6875,11.75808095,682,0.5900266666,"Trifolium"
"Trifolium resupinatum","Trifolium resupinatum",0.14,168.665,7.76,277.62,0.681666666666667,"Trifolium"
"Trifolium rubens","Trifolium rubens",0.425,274.065,57.665,929.42,2.04,"Trifolium"
"Trinia glauca","Trinia glauca",0.123333333333333,223.26,46.815,564.955,1.84010909090909,"Trinia"
"Triticum aestivum","Triticum aestivum",1.1125,234.48,134.4,2845.5,43.3333333333333,"Triticum"
"Trollius europaeus","Trollius europaeus",0.275,193,290.079134466667,5348.33333333333,0.891823076923077,"Trollius"
"Tussilago farfara","Tussilago farfara",0.185,139,2873.9272005,48997.5,0.225233333333333,"Tussilago"
"Typha angustifolia","Typha angustifolia",1.5,265.815,1539.6,9562,0.10285,"Typha"
"Typha latifolia","Typha latifolia",1.5,198.816666666667,1569.79115446667,17522,0.0581076923076923,"Typha"
"Ulex europaeus","Ulex europaeus",0.933333333333333,301.9925,3.645,14.5,6.12,"Ulex"
"Ulmus glabra","Ulmus glabra",33.3333333333333,254.07,114.6725,3395.23333333333,11.48855,"Ulmus"
"Ulmus laevis","Ulmus laevis",35,218.695,98.445,4532.25,8,"Ulmus"
"Ulmus minor","Ulmus minor",30.25,246.405,64.7225,1734.255,9,"Ulmus"
"Umbilicus rupestris","Umbilicus rupestris",0.175,48,60.2,1744,0.0071,"Umbilicus"
"Urtica dioica","Urtica dioica",0.875,212.5,101.221290945,3841.5,0.179769230769231,"Urtica"
"Urtica urens","Urtica urens",0.266666666666667,214,21.70206379,456,0.5132,"Urtica"
"Vaccinium myrtillus","Vaccinium myrtillus",0.3135,331.833333333333,4.04454545454545,72.3027586206897,40.8073555555556,"Vaccinium"
"Valeriana officinalis","Valeriana officinalis",0.525,140,408.03994595,12333,0.942,"Valeriana"
"Valerianella carinata","Valerianella carinata",0.176666666666667,106.333333333333,5.533503827,185.666666666667,0.542,"Valerianella"
"Valerianella locusta","Valerianella locusta",0.135,103,4.788672566,152,0.738755555555556,"Valerianella"
"Verbascum densiflorum","Verbascum densiflorum",1.1025,190.3675,827.66,15287.2925,0.099,"Verbascum"
"Verbascum nigrum","Verbascum nigrum",0.691666666666667,164,1532.4,28632,0.11548,"Verbascum"
"Verbascum pulverulentum","Verbascum pulverulentum",0.725,174,1845.1,37095,0.16596,"Verbascum"
"Verbascum thapsus","Verbascum thapsus",0.783333333333333,213.666666666667,1595.28015066667,21628.3333333333,0.103033333333333,"Verbascum"
"Verbena officinalis","Verbena officinalis",0.36375,236.95,26.92,377.25,0.389,"Verbena"
"Veronica anagallis-aquatica","Veronica anagallis-aquatica",0.308333333333333,107.333333333333,65.39724673,2285,0.0420666666666667,"Veronica"
"Veronica arvensis","Veronica arvensis",0.113333333333333,134.5375,4.1472318365,151.666666666667,0.118771428571429,"Veronica"
"Veronica beccabunga","Veronica beccabunga",0.333333333333333,136.666666666667,34.47380872,798.666666666667,0.425233333333333,"Veronica"
"Veronica catenata","Veronica catenata",0.28125,123.63,9.071927621,361.75,0.0321888888888889,"Veronica"
"Veronica chamaedrys","Veronica chamaedrys",0.25,270.46,15.8084799233333,355.5,0.206428571428571,"Veronica"
"Veronica hederifolia","Veronica hederifolia",0.19,91.8875,10.29783229,261.75,4.1612,"Veronica"
"Veronica montana","Veronica montana",0.258333333333333,272,19.99226158,458,0.4069628571,"Veronica"
"Veronica officinalis","Veronica officinalis",0.12575,280,10.4751908395,54,0.122816666666667,"Veronica"
"Veronica peregrina","Veronica peregrina",0.108333333333333,131.006666666667,1.60666666666667,45.3633333333333,0.0316,"Veronica"
"Veronica persica","Veronica persica",0.2,120.333333333333,13.705448128,495.333333333333,0.565,"Veronica"
"Veronica polita","Veronica polita",0.325,144.666666666667,3.45969468266667,108.333333333333,0.314133333333333,"Veronica"
"Veronica scutellata","Veronica scutellata",0.166666666666667,215.875,2.965,74.625,0.473757142857143,"Veronica"
"Veronica serpyllifolia","Veronica serpyllifolia",0.141666666666667,175,8.018957346,188,0.0493466666666667,"Veronica"
"Viburnum lantana","Viburnum lantana",3.5,234.895,211.68,3869.5,34.95424,"Viburnum"
"Vicia cracca","Vicia cracca",0.883333333333333,223.055,29.260000955,971.5,16.0832363636364,"Vicia"
"Vicia ervilia","Vicia ervilia",0.41,180.11,16.79,315.16,43.5186666666667,"Vicia"
"Vicia faba","Vicia faba",0.75,114.95,326.85,9222,1390,"Vicia"
"Vicia hirsuta","Vicia hirsuta",0.275,240.333333333333,10.51095912,305.333333333333,5.99044,"Vicia"
"Vicia sativa","Vicia sativa",0.55,217.5,56.185459305,1286,31.0473333333333,"Vicia"
"Vicia sepium","Vicia sepium",0.466666666666667,186,24.55676856,1242,22.7702,"Vicia"
"Vinca minor","Vinca minor",0.5875,195,21.85865895,565,6.13,"Vinca"
"Vincetoxicum hirundinaria","Vincetoxicum hirundinaria",0.75,159.415,28.2075,1513.5,7.42333333333333,"Vincetoxicum"
"Viola arvensis","Viola arvensis",0.191666666666667,167.5,23.09604869,546.5,0.468,"Viola"
"Viola canina","Viola canina",0.1,245,12.71737374,238,1.08548,"Viola"
"Viola hirta","Viola hirta",0.075,236.5,169.82454575,3436,3.09404,"Viola"
"Viola odorata","Viola odorata",0.2375,220,86.57567665,1975.5,2.25653333333333,"Viola"
"Viola reichenbachiana","Viola reichenbachiana",0.12,225.695,17.52,488,2.0248,"Viola"
"Viola riviniana","Viola riviniana",0.135,296,28.96341463,532,1.20026666666667,"Viola"
"Viola tricolor","Viola tricolor",0.25,168.533333333333,14.70291069,440.5,0.793276923076923,"Viola"
"Vitis vinifera","Vitis vinifera",10,159.8,414.2375,14390.125,18,"Vitis"
"Zea mays","Zea mays",2,195.22,1366.6,32702.75,104.72,"Zea"
