"","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","sbs_name","genus"
"Acer campestre",3.37380048633865,1.76949091676681,0.775653615688227,0.85081299225259,1.91601235824027,"Acer campestre","Acer"
"Achillea millefolium",0.0206041976686523,0.000830887451958008,-0.305554100490826,-0.444046278252869,-0.973792987142479,"Achillea millefolium","Achillea"
"Aegopodium podagraria",0.34865474817311,0.573202784859967,1.48878874388925,1.40483982584591,0.247834781164309,"Aegopodium podagraria","Aegopodium"
"Aethusa cynapium",0.125644065510028,0.113910727038481,0.551086318680642,0.643900806744725,0.251811433958142,"Aethusa cynapium","Aethusa"
"Agrimonia eupatoria",-0.142093970792452,1.60972943010779,1.27557663366738,1.15744399794098,1.27115476474617,"Agrimonia eupatoria","Agrimonia"
"Agrostemma githago",0.507809761868311,0.260920866808837,0.183842877098917,0.0266176521468403,1.28374482149763,"Agrostemma githago","Agrostemma"
"Agrostis canina",-0.2423347974508,1.11562877087546,-1.5267523330567,-1.40447605255097,-1.38910826620685,"Agrostis canina","Agrostis"
"Aira caryophyllea",-1.19688434718148,1.09365362364542,-1.82679647480595,-2.22594300957687,-1.06948937149921,"Aira caryophyllea","Aira"
"Ajuga chamaepitys",-1.37034651615964,-0.427475553150912,-1.29783910922898,-1.37751472341956,0.0920554261407568,"Ajuga chamaepitys","Ajuga"
"Ajuga reptans",-0.83053880290039,-0.511894744909924,-0.419707345083511,-0.284049669601812,0.181913093974322,"Ajuga reptans","Ajuga"
"Alcea rosea",1.33229134322502,0.236078623310477,1.38593263972987,1.14400815737893,1.04998725498748,"Alcea rosea","Alcea"
"Alisma lanceolatum",-0.325118108671941,-1.19769644667658,0.243368350186946,0.330508023039927,-0.460350697109244,"Alisma lanceolatum","Alisma"
"Alisma plantago-aquatica",-0.166181533250523,-0.84447410360315,1.29733717274255,1.34155721298149,-0.462446966732464,"Alisma plantago-aquatica","Alisma"
"Alliaria petiolata",0.143427908474797,-0.370722086554004,0.85139265610922,1.09459465539834,0.408225818344218,"Alliaria petiolata","Alliaria"
"Allium carinatum",-0.516037793087302,-1.36347997533714,0.0508072109165871,0.157458287534151,0.122204145244207,"Allium carinatum","Allium"
"Allium sphaerocephalon",-0.516037793087302,-0.854744829942043,1.08951203185714,0.377804062859513,0.181085896014786,"Allium sphaerocephalon","Allium"
"Allium ursinum",-0.325118108671941,-1.28735662086146,0.809028037381624,1.03044825623242,0.807444493607153,"Allium ursinum","Allium"
"Allium vineale",-0.415796966428953,-0.223618779694026,0.472273864650914,0.12107544026614,0.965813203884075,"Allium vineale","Allium"
"Alopecurus myosuroides",-0.2423347974508,1.01966272557854,-0.312035224287305,-0.292690565302435,0.366054429717059,"Alopecurus myosuroides","Alopecurus"
"Alopecurus pratensis",0.143427908474797,1.35104837851794,0.0442136513492434,0.0714680838584337,-0.202267135666371,"Alopecurus pratensis","Alopecurus"
"Althaea officinalis",0.585624874346631,0.271376610119116,0.746779392776161,0.769516085877053,0.829370789924591,"Althaea officinalis","Althaea"
"Amaranthus caudatus",0.583963026068588,-0.158232431272175,0.818568007919135,0.776063018411231,-0.194310742346499,"Amaranthus caudatus","Amaranthus"
"Amaranthus retroflexus",0.146945132063845,0.488571694170665,0.960683649445831,0.705387220021788,-0.371288468195724,"Amaranthus retroflexus","Amaranthus"
"Ammi majus",0.0194006454559303,-0.71156330911423,-1.44909832572238,-1.32625363168068,-0.234570301103517,"Ammi majus","Ammi"
"Anemone nemorosa",-0.978835104542791,0.266900605245469,0.57477253675513,0.608975937181003,0.364696536711346,"Anemone nemorosa","Anemone"
"Angelica sylvestris",0.670803519972316,0.454876973902191,1.84770028593004,1.99175671189385,0.423007029499431,"Angelica sylvestris","Angelica"
"Anthemis arvensis",-0.291135642808623,-0.748448954243329,-0.64079008226484,-0.494499172565996,-0.13457842442157,"Anthemis arvensis","Anthemis"
"Anthemis cotula",-0.291135642808623,-1.46381167170211,-0.943785120353824,-1.02189215397179,-0.380151925502598,"Anthemis cotula","Anthemis"
"Anthericum liliago",-0.2423347974508,-0.349413467457946,0.765822399558624,0.664855112244063,0.822027522793339,"Anthericum liliago","Anthericum"
"Anthriscus caucalis",-0.0688726284726471,0.116495035454864,0.533075642737206,0.712199194114066,0.0763168196693665,"Anthriscus caucalis","Anthriscus"
"Anthyllis vulneraria",-0.628097503376397,-0.231436384270666,0.234875494269503,0.0304435093118912,0.564738957447738,"Anthyllis vulneraria","Anthyllis"
"Antirrhinum majus",0.0890469421514717,-0.310901761342042,-0.206622773870682,-0.605464723445391,-1.03685361730037,"Antirrhinum majus","Antirrhinum"
"Aphanes arvensis",-1.44218499792017,0.940197348507169,-1.43409105754392,-1.70474935888782,-0.737378661067242,"Aphanes arvensis","Aphanes"
"Arabidopsis thaliana",-1.013860209302,-1.55233881904003,-0.71763026115347,-0.645376175324022,-1.85813486005037,"Arabidopsis thaliana","Arabidopsis"
"Arabis hirsuta",-0.171073101338294,-0.294817770140921,-0.469043376563058,-0.493996349629513,-1.11657090323261,"Arabis hirsuta","Arabis"
"Arabis sagittata",0.0890469421514717,-0.682066029436972,-0.465337156792632,-0.667157596699067,-1.10642329733241,"Arabis sagittata","Arabis"
"Arctium lappa",0.980750280579837,0.138733395048443,1.85151690717642,1.73587301648929,1.23038549210798,"Arctium lappa","Arctium"
"Arctium minus",0.563791078270034,-0.11901730984705,2.34690498423592,2.54824082552843,1.19270118293589,"Arctium minus","Arctium"
"Arenaria serpyllifolia",-0.811121641255887,0.444936838461519,-2.07924172181881,-2.265277548749,-1.29782256797967,"Arenaria serpyllifolia","Arenaria"
"Aristolochia clematitis",0.0313681981857021,1.02259701848462,1.29101319841364,1.16203146556255,1.66832374386304,"Aristolochia clematitis","Aristolochia"
"Arrhenatherum elatius",1.13427534963917,1.20229200075818,-0.132153638988718,0.133338625134145,0.538376399666032,"Arrhenatherum elatius","Arrhenatherum"
"Artemisia absinthium",0.720110298815755,0.46091986513549,0.463524424385473,0.506696001226641,-1.07819829265541,"Artemisia absinthium","Artemisia"
"Artemisia annua",0.854333591337422,0.46550330516017,-0.140253205733561,-0.209805640213817,-1.68421488647574,"Artemisia annua","Artemisia"
"Artemisia vulgaris",1.22325677983213,0.879001723628822,0.94085409804039,0.749319148197392,-0.928329087417454,"Artemisia vulgaris","Artemisia"
"Arum maculatum",-0.444776096974794,-1.21086019453207,1.05189496238116,1.27159546644143,2.0552553633274,"Arum maculatum","Arum"
"Asparagus officinalis",0.802893610036897,1.09929504136169,-1.21709857171022,-1.87917075476003,1.77915374860022,"Asparagus officinalis","Asparagus"
"Astragalus glycyphyllos",0.376639350848065,1.02455141831183,0.539709247339423,0.556665067303944,0.785161419488686,"Astragalus glycyphyllos","Astragalus"
"Atriplex prostrata",0.854333591337422,-0.667116300354106,0.635936601399907,0.546876217230715,0.367334519963434,"Atriplex prostrata","Atriplex"
"Avena barbata",-0.728338330034746,0.660485766507986,-4.56551432659464,-1.1003245924952,0.991871276417797,"Avena barbata","Avena"
"Avena fatua",0.629431441058744,0.7085824214625,1.05569563929863,0.902479750619371,1.4860090108915,"Avena fatua","Avena"
"Avena sterilis",-0.342575624109149,0.10260931312262,-0.421157246246569,-0.27954542055762,1.95730759843256,"Avena sterilis","Avena"
"Avena strigosa",1.31393563758914,0.226867458295496,0.285595575381005,0.387903196809552,0.962261353217733,"Avena strigosa","Avena"
"Baldellia ranunculoides",-1.07526266799105,-0.767340560263566,-0.358554001102741,-0.423824894398764,-0.409862676903157,"Baldellia ranunculoides","Baldellia"
"Ballota nigra",0.455969272080591,0.478966662701875,-0.0187371542364966,-0.149398112619366,-0.0749848704582055,"Ballota nigra","Ballota"
"Barbarea vulgaris",0.290088082633532,-0.169529118579348,0.672757244488177,0.851817069295604,-0.241247564329801,"Barbarea vulgaris","Barbarea"
"Bellis perennis",-1.85635004874358,-1.30682922009893,-0.622892584267986,-0.51566989932809,-0.939766555939347,"Bellis perennis","Bellis"
"Berula erecta",0.194867889775323,-1.73943713071147,0.706331760960715,0.702458176507435,-0.172950086171425,"Berula erecta","Berula"
"Beta vulgaris",1.22325677983213,-0.278830380070076,1.48753893325533,1.5715459396994,1.44603189509192,"Beta vulgaris","Beta"
"Bidens frondosa",0.290088082633532,-0.160365968584033,0.516536710866999,0.783568797800616,1.03462699092523,"Bidens frondosa","Bidens"
"Bidens tripartita",0.290088082633532,-0.526549321534226,0.318820401400258,0.494051511531414,0.425674277265812,"Bidens tripartita","Bidens"
"Blackstonia perfoliata",-0.530238174575485,0.491706019267541,-0.386769880482532,-0.391652242975735,-2.26200647561907,"Blackstonia perfoliata","Blackstonia"
"Borago officinalis",-0.211138301066594,-0.659626826113773,0.686705734793987,0.753572814149868,1.32210343526817,"Borago officinalis","Borago"
"Brachypodium sylvaticum",0.720110298815755,1.35458876118664,-0.337652187622685,0.745534358718459,0.490181631409251,"Brachypodium sylvaticum","Brachypodium"
"Brassica nigra",0.610210425770419,-0.98222554009217,0.936169933793905,1.05074566191922,0.134041021634501,"Brassica nigra","Brassica"
"Brassica rapa",0.414484427029956,-0.72183485337609,0.618829107995405,0.661419611193995,0.363441650189442,"Brassica rapa","Brassica"
"Briza media",-0.811121641255887,1.26298328735077,-0.197059468854305,-0.206252483866477,-0.439790317089558,"Briza media","Briza"
"Bromus arvensis",-0.145907234002536,1.01437283343045,0.010469991835048,0.0699452667738267,0.461865155614202,"Bromus arvensis","Bromus"
"Bromus commutatus",0.243668735133147,0.469958557844215,-0.121233698414559,-0.0168957710721362,0.789970422397584,"Bromus commutatus","Bromus"
"Bromus madritensis",-0.676898348734221,-0.297545201387362,-1.39010433019529,-0.955563959583186,0.450334815805609,"Bromus madritensis","Bromus"
"Bromus sterilis",-0.0300342605033554,0.581868747299888,-0.485598293523434,-0.376034400144843,0.964622199247592,"Bromus sterilis","Bromus"
"Buddleja davidii",1.4798168270362,0.570230608506989,0.335967041861233,0.60334803482719,-1.37871900122026,"Buddleja davidii","Buddleja"
"Butomus umbellatus",0.690833899747801,-1.15164990386878,1.31060591727717,0.958038419682088,-0.847276955765741,"Butomus umbellatus","Butomus"
"Cakile maritima",-0.589259135407107,-1.96530167779316,0.320369293503776,-0.037487137898842,1.49105376039631,"Cakile maritima","Cakile"
"Calamagrostis epigejos",0.903134436695246,2.04647658473087,0.946578152830839,0.878337519475088,-1.21511317407699,"Calamagrostis epigejos","Calamagrostis"
"Calendula arvensis",-0.901800499012899,-1.83022654457358,0.0129557401301284,-0.00152477121147854,0.611318665162418,"Calendula arvensis","Calendula"
"Callitriche palustris",-3.60530366805001,-1.41891537759816,-2.12765857311165,-1.47971388816651,-1.2381266884952,"Callitriche palustris","Callitriche"
"Calystegia sepium",1.14355745152943,-0.0207813485515588,0.418022225301315,0.643940833089356,1.63517731532284,"Calystegia sepium","Calystegia"
"Calystegia silvatica",1.56260013825734,0.502840297571395,0.614388087746547,0.624440202568936,1.73321351949397,"Calystegia silvatica","Calystegia"
"Campanula rapunculus",0.243668735133147,-0.351542130062451,-0.604393128851135,-0.228501183919769,-1.63365193392717,"Campanula rapunculus","Campanula"
"Campanula trachelium",0.417130904111299,-0.409501642584105,0.4255508286004,0.705129966367767,-0.704301646190496,"Campanula trachelium","Campanula"
"Cannabis sativa",1.0765966056734,0.675266132750855,0.799859071771263,0.864522906615492,0.889442105242876,"Cannabis sativa","Cannabis"
"Capsella bursa-pastoris",-1.06266105465982,-0.611557592927534,0.215257818119177,0.350377437502792,-1.11360110483849,"Capsella bursa-pastoris","Capsella"
"Cardamine amara",-0.448051170423241,-1.03576854775594,0.102719874277973,0.51514810718764,-0.651575196930679,"Cardamine amara","Cardamine"
"Cardamine bulbifera",0.0254032388516781,-0.572337911938289,0.143988395996795,0.445906959234192,0.475262612451871,"Cardamine bulbifera","Cardamine"
"Cardamine flexuosa",-0.551944239176118,-0.966081519631912,-0.593165497290834,-0.192456740547803,-1.00959734400197,"Cardamine flexuosa","Cardamine"
"Cardamine heptaphylla",-0.0300342605033554,-0.804559643228616,1.45146711265332,1.7926303528155,0.860066819160018,"Cardamine heptaphylla","Cardamine"
"Cardamine hirsuta",-1.12740765702838,-1.02871717291707,-0.641062737093887,-0.549154125899331,-1.07127009408569,"Cardamine hirsuta","Cardamine"
"Cardamine impatiens",-0.0732875222290808,1.37633194594495,-0.874014692910207,-0.731094791750449,-0.61551470201458,"Cardamine impatiens","Cardamine"
"Cardamine parviflora",-1.07526266799105,-0.322704747758219,-1.38897940763928,-1.34070885179592,-1.07845980438504,"Cardamine parviflora","Cardamine"
"Carduus nutans",0.417130904111299,-0.993737793814532,0.999824812421554,0.83465599822267,0.562124276728419,"Carduus nutans","Carduus"
"Carex acuta",0.802893610036897,1.54858121324209,0.610121601483497,0.502346929068345,-0.412417363120519,"Carex acuta","Carex"
"Carex acutiformis",0.629431441058744,1.56170623189577,1.20561119452289,1.05971746541559,-0.0714641050292099,"Carex acutiformis","Carex"
"Carex caryophyllea",-1.38780403159685,1.3677590160064,-0.442844814686153,-0.475220850445982,0.124211220733214,"Carex caryophyllea","Carex"
"Carex digitata",-1.2875632049385,1.04066924566699,-0.472389345103194,-0.361598559911789,0.175254132888165,"Carex digitata","Carex"
"Carex distans",-0.628097503376397,1.31560205675992,-0.545671304121062,-0.675917764267836,0.172971361668005,"Carex distans","Carex"
"Carex divulsa",-0.325118108671941,-1.51403754752205,0.0315783252654108,0.206303916681103,0.216709096620041,"Carex divulsa","Carex"
"Carex echinata",-0.415796966428953,1.80615668167203,-0.481487729229612,-0.779790555734399,-0.142809407102584,"Carex echinata","Carex"
"Carex elata",0.802893610036897,1.64532206792969,0.988307480400897,0.55133473720287,-0.135899280649937,"Carex elata","Carex"
"Carex extensa",-1.00204132567125,1.45634354147472,-0.627582906535561,-1.18585242011661,0.103773835276469,"Carex extensa","Carex"
"Carex flacca",-0.325118108671941,1.55797139117584,-0.0672268683273803,-0.213912784049579,0.00579791040129865,"Carex flacca","Carex"
"Carex hirta",0.143427908474797,1.20134001249098,0.319602924819095,0.313458901728431,0.49553530402377,"Carex hirta","Carex"
"Carex pallescens",-0.166181533250523,0.945938420765703,-0.506428245165101,-0.312915481929207,0.106675231389201,"Carex pallescens","Carex"
"Carex pendula",0.243668735133147,1.29375233342614,1.64680996101049,1.36577240194442,-0.157849241085503,"Carex pendula","Carex"
"Carex pilulifera",-1.2875632049385,1.51799971509468,-0.686196805774897,-0.80211399403827,0.0966205420038111,"Carex pilulifera","Carex"
"Carex pseudocyperus",-0.0956746232920653,1.35536528849246,0.696905263059603,0.731935892320645,-0.153345190202377,"Carex pseudocyperus","Carex"
"Carex punctata",-0.967440861801609,1.48509156538999,-0.19490982171273,-0.119954855321365,0.00537715650408544,"Carex punctata","Carex"
"Carex remota",0.143427908474797,0.837408807950645,-0.573679958135998,-0.579880851656698,-0.476032181452995,"Carex remota","Carex"
"Carex riparia",0.949553784195631,1.50693965480676,1.71881120389805,1.42673661576543,0.329060650286659,"Carex riparia","Carex"
"Carex rostrata",0.243668735133147,0.750922178924421,0.332879113235392,0.115507742956055,0.0781364410163631,"Carex rostrata","Carex"
"Carex spicata",-0.325118108671941,0.791248685018272,-0.452193937210229,-0.569439226749026,0.416489227773199,"Carex spicata","Carex"
"Carex strigosa",0.455969272080591,-0.377219748259042,0.327512756022388,0.489385139319661,-0.289006101672474,"Carex strigosa","Carex"
"Carex sylvatica",0.0890469421514717,1.4853380483241,-0.147233936807192,-0.17979286310151,0.242962511018272,"Carex sylvatica","Carex"
"Carex vesicaria",0.334347592890158,1.45318550448511,0.465645416036376,0.132905510070858,0.157041469433712,"Carex vesicaria","Carex"
"Carlina acaulis",-0.211138301066594,-0.0297659143022867,1.1572849540427,0.760920405508825,0.673780678180557,"Carlina acaulis","Carlina"
"Carpinus betulus",3.64642690621187,0.886059785671154,0.231950197057354,0.460464308690672,1.79020529977682,"Carpinus betulus","Carpinus"
"Carthamus tinctorius",0.722988993590714,-0.636736955376803,0.623732955312401,0.375032946206772,1.56496852135608,"Carthamus tinctorius","Carthamus"
"Centaurea calcitrapa",-0.0956746232920653,-0.297545201387362,0.30806184071195,0.297964350345089,0.398980732147145,"Centaurea calcitrapa","Centaurea"
"Centaurea nigra",0.0890469421514717,-0.488797919350814,0.609463153081005,0.680911347776539,0.437219512728666,"Centaurea nigra","Centaurea"
"Centaurea solstitialis",0.478533362800357,-0.0233866483088474,-0.0491621147781302,0.00582446453685762,0.248139216468424,"Centaurea solstitialis","Centaurea"
"Centaurium erythraea",-0.958983847030334,0.897850091337709,-0.610672120531027,-0.704102039287558,-2.09412934282515,"Centaurium erythraea","Centaurium"
"Centaurium pulchellum",-1.72212675622192,-0.0152896308257858,-2.56660358940037,-2.13597268265305,-2.09255793541792,"Centaurium pulchellum","Centaurium"
"Centranthus ruber",0.107521462385979,-0.778663287711026,0.600648545467311,0.626768261895317,0.331840667788259,"Centranthus ruber","Centranthus"
"Cephalanthera damasonium",-0.0956746232920653,-0.293775666871139,0.166215778605975,0.278002835803743,-2.54408775683305,"Cephalanthera damasonium","Cephalanthera"
"Cerastium glomeratum",-0.934054703007189,-0.473291511124703,-0.885213115376788,-0.891103977902273,-1.40844928452821,"Cerastium glomeratum","Cerastium"
"Cerastium pumilum",-2.04726973315894,-1.15238749495252,-2.00709868224428,-2.01250045213251,-1.30437884228093,"Cerastium pumilum","Cerastium"
"Cerastium semidecandrum",-1.77356673752244,-0.0159634423583266,-1.6138554873417,-1.79574117173497,-1.5841708569023,"Cerastium semidecandrum","Cerastium"
"Chaerophyllum bulbosum",0.748512643713571,0.942313921244975,1.25816828798546,1.11520346660614,0.362213468648114,"Chaerophyllum bulbosum","Chaerophyllum"
"Chaerophyllum temulum",0.227678310036423,0.78448673787558,1.50830866661028,1.62189134650792,0.48189592535144,"Chaerophyllum temulum","Chaerophyllum"
"Chelidonium majus",0.178028372344437,0.0151421716291495,0.909898243727568,1.20327511311126,-0.145904666176583,"Chelidonium majus","Chelidonium"
"Chenopodium album",0.211414531138857,-0.321678668552643,0.666740715307827,0.488085182683649,-0.210357666055904,"Chenopodium album","Chenopodium"
"Chondrilla juncea",0.243668735133147,0.413663212749134,-0.264218317292392,-0.608531659572928,-0.192878191472512,"Chondrilla juncea","Chondrilla"
"Cichorium intybus",0.455969272080591,-0.825420517682191,1.33498900526968,1.54335543274338,0.274823357070458,"Cichorium intybus","Cichorium"
"Circaea lutetiana",-0.216267197030858,0.113222988384589,0.281843835919917,0.541362448035406,0.279474517109553,"Circaea lutetiana","Circaea"
"Cirsium arvense",0.762402056773662,-0.716944663797894,0.792750345576589,0.741562494000786,0.103970805126264,"Cirsium arvense","Cirsium"
"Cirsium vulgare",0.802893610036897,-0.734641994379871,1.50166072514463,1.29810118178726,0.434036805167047,"Cirsium vulgare","Cirsium"
"Clematis vitalba",3.75329777989109,0.66421652037037,0.769356446169592,0.942036910197558,0.459117496655643,"Clematis vitalba","Clematis"
"Clinopodium vulgare",-0.0300342605033554,0.879001723628822,0.0596827480279271,0.0550989726215404,-0.411495356715053,"Clinopodium vulgare","Clinopodium"
"Conium maculatum",1.59762524301655,0.375668240754732,1.88764370707606,2.14295028881092,0.409124286149961,"Conium maculatum","Conium"
"Convolvulus arvensis",-0.369015246843714,-0.192575950384269,0.0117027427211927,0.08899649449486,1.21041280811124,"Convolvulus arvensis","Convolvulus"
"Coriandrum sativum",0.164338813900621,-0.757114813341536,-0.255452125856093,0.108408043623373,1.1185784634814,"Coriandrum sativum","Coriandrum"
"Cornus mas",2.09502301834168,0.417776614797458,0.235856633922815,0.362283331941672,2.96889606265418,"Cornus mas","Cornus"
"Crataegus laevigata",2.60782854574504,1.68997183813355,-0.0309560645018379,-0.139883992424286,2.69584892061011,"Crataegus laevigata","Crataegus"
"Crepis biennis",0.376639350848065,-0.89482201718908,0.788694423078115,0.983122328017712,0.12752421822589,"Crepis biennis","Crepis"
"Crepis capillaris",-0.325118108671941,-1.03576854775594,0.133412882783427,0.270844374580183,-0.738984658868502,"Crepis capillaris","Crepis"
"Crepis vesicaria",0.0548609448086571,-0.275326003177619,0.218445080787977,0.0677446871952322,-0.459016364706298,"Crepis vesicaria","Crepis"
"Crithmum maritimum",-0.516037793087302,-1.86586459181229,-0.240145705847972,-0.670456567715949,0.355880623589706,"Crithmum maritimum","Crithmum"
"Cruciata laevipes",-0.296715763774127,0.603887763785449,-1.31493103717657,-1.25018124033907,0.716426271164591,"Cruciata laevipes","Cruciata"
"Cymbalaria muralis",-0.415796966428953,-2.0765196275314,-0.155768853605559,-0.0436501055755409,-1.00707633079464,"Cymbalaria muralis","Cymbalaria"
"Cynodon dactylon",-1.19688434718148,0.504859717601149,-1.06067066835612,-1.112704145749,-0.94752668871871,"Cynodon dactylon","Cynodon"
"Cynosurus cristatus",0.32856394044516,0.764779391012155,-0.624222682358424,-0.533162674502178,-0.290514134698364,"Cynosurus cristatus","Cynosurus"
"Cyperus longus",0.35149054132259,0.701202498508938,0.168986599496453,0.14362849978084,-1.3281560486717,"Cyperus longus","Cyperus"
"Dactylis glomerata",0.151847502337208,0.92502982915021,0.114529027418262,0.223121389560671,-0.0459135673271091,"Dactylis glomerata","Dactylis"
"Danthonia decumbens",-1.2875632049385,1.6029386341342,-0.507287889724124,-0.488363497192866,0.179651040082267,"Danthonia decumbens","Danthonia"
"Daphne laureola",0.597177237064454,1.06247448584529,0.71011964781368,0.247927326139047,2.22468286889797,"Daphne laureola","Daphne"
"Daphne mezereum",0.645157549471651,0.0151421716291495,-0.253926964755332,-0.543061761213166,1.81355344333042,"Daphne mezereum","Daphne"
"Datura stramonium",1.2061138313997,-0.900151132973175,1.42716380779178,1.45135428135925,1.0548495909881,"Datura stramonium","Datura"
"Deschampsia cespitosa",0.105690070295402,1.59237657080454,-0.10262763410092,-0.540839219842557,-0.747829318972117,"Deschampsia cespitosa","Deschampsia"
"Digitalis lutea",-0.2423347974508,-0.20525975499162,0.712148720027616,0.711850869030283,-1.10642329733241,"Digitalis lutea","Digitalis"
"Digitaria ischaemum",-0.840398040323841,-0.307999461459672,-0.853237669554342,-1.14256682962833,-0.14074435638735,"Digitaria ischaemum","Digitaria"
"Digitaria sanguinalis",-0.676898348734221,-0.228306586796544,-0.774093412961866,-0.628227301351856,-0.0160205727815625,"Digitaria sanguinalis","Digitaria"
"Diplotaxis muralis",-0.782719296358072,-0.752540295106979,-0.0807547546217266,-0.154220058911319,-0.751890388274814,"Diplotaxis muralis","Diplotaxis"
"Diplotaxis tenuifolia",-0.0956746232920653,-1.31858152371466,0.530414838943337,0.466839731452197,-0.606173760720158,"Diplotaxis tenuifolia","Diplotaxis"
"Dipsacus fullonum",0.802893610036897,-0.278830380070076,1.68859830375309,1.70808422519954,0.476910244975762,"Dipsacus fullonum","Dipsacus"
"Drosera intermedia",-2.28637226492581,-0.132536167402349,-1.95309286242137,-1.99317321164758,-1.70380553254441,"Drosera intermedia","Drosera"
"Drosera rotundifolia",-1.47058734281799,-0.847728793820874,-1.47264776354494,-1.26769054452781,-1.93993735695098,"Drosera rotundifolia","Drosera"
"Echinochloa crus-galli",0.376639350848065,0.0617607011734045,0.333444689155052,0.45955441619013,0.405513953579302,"Echinochloa crus-galli","Echinochloa"
"Echium vulgare",0.107521462385979,-0.710500839556515,0.992127120717223,0.825833009971279,0.519274351258429,"Echium vulgare","Echium"
"Eleocharis multicaulis",-0.2423347974508,1.12095694267568,-0.283776953840952,-0.903741406790221,-0.253641148381672,"Eleocharis multicaulis","Eleocharis"
"Eleusine indica",-1.2875632049385,0.48531405731813,-0.614140686052418,-0.631888392068407,-0.378253818137895,"Eleusine indica","Eleusine"
"Elymus repens",0.629431441058744,1.0298942586803,0.387914396204187,0.481770682520081,0.413763333477907,"Elymus repens","Elymus"
"Epilobium hirsutum",0.934330933079448,0.305572846375235,0.599767801390035,0.578120006641517,-0.988788003534484,"Epilobium hirsutum","Epilobium"
"Epilobium montanum",-0.0956746232920653,0.565475950856552,0.422852318334036,0.441086870095068,-0.992853059153316,"Epilobium montanum","Epilobium"
"Epilobium parviflorum",0.107521462385979,-0.387272766474732,-0.236999540924319,-0.105485320102038,-1.21705651668771,"Epilobium parviflorum","Epilobium"
"Eragrostis minor",-1.07526266799105,0.65443082664589,-1.30616531046813,-1.10438914198492,-1.14643848053349,"Eragrostis minor","Eragrostis"
"Erodium cicutarium",0.417130904111299,0.21977290200064,0.209482924053864,0.320783071488288,0.163380084508321,"Erodium cicutarium","Erodium"
"Erodium moschatum",0.0890469421514717,-1.21633287597537,1.04782747228059,1.1622091786575,0.00121962370764238,"Erodium moschatum","Erodium"
"Eryngium campestre",-0.303737256139857,0.645219257685169,2.25820224737287,1.86180570098787,0.150261056637082,"Eryngium campestre","Eryngium"
"Eryngium maritimum",-0.216267197030858,-0.822486224776116,1.45712137063902,1.02797377129968,1.53785046490244,"Eryngium maritimum","Eryngium"
"Eupatorium cannabinum",0.903134436695246,0.227658236865973,0.995112806993982,1.01280414938556,-0.533469449211654,"Eupatorium cannabinum","Eupatorium"
"Euphorbia amygdaloides",-0.0492552757916798,1.15363469396471,-0.553139408715291,-0.588695281009683,0.685899380161633,"Euphorbia amygdaloides","Euphorbia"
"Euphorbia dulcis",-0.2423347974508,0.670249266983849,-0.596066927611983,-0.432576881020934,0.359430971642512,"Euphorbia dulcis","Euphorbia"
"Euphorbia esula",0.0890469421514717,0.478187165657637,-1.2548483718966,-1.13420010486848,0.59879655318817,"Euphorbia esula","Euphorbia"
