"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg"
"1","Acer campestre",13.4214285714286,360.5,184.2079463,4741.5,54.3482823529412
"2","Achillea millefolium",0.3955,185.5,21.7633333333333,411,0.131833333333333
"3","Aegopodium podagraria",0.558333333333333,230,753.5581651,13500.242,1.68093333333333
"4","Aethusa cynapium",0.441666666666667,193.55,118.208577966,3207.7575,1.69492
"5","Agrimonia eupatoria",0.333333333333333,339.5,494.5374473,8461,14.178
"6","Agrostemma githago",0.66,204.54,57.225,999.75,14.554875
"7","Agrostis canina",0.3,281.985,1.950036232,67,0.0554857142857143
"8","Aira caryophyllea",0.11,279.666666666667,1.078029614,14.2,0.108
"9","Ajuga chamaepitys",0.0916666666666667,157.93,3.065,70.5,1.215
"10","Ajuga reptans",0.161666666666667,153,17.36967841,556,1.46519
"11","Alcea rosea",1.57,202.64,615,8249,8.94266666666667
"12","Alisma lanceolatum",0.275,118.25,64.3655555555556,1774.8,0.3843
"13","Alisma plantago-aquatica",0.325,135.03,516.259252275,11979.4166666667,0.382625
"14","Alliaria petiolata",0.45,161.333333333333,213.937010866667,7514,2.348
"15","Allium carinatum",0.225,111.11,44,1280,1.2937777775
"16","Allium sphaerocephalon",0.225,134.51,342.43,1940.63,1.46266666666667
"17","Allium ursinum",0.275,114.333333333333,196.761776666667,6656.66666666667,5.3948
"18","Allium vineale",0.25,170.5,101.166029705,1195,7.504
"19","Alopecurus myosuroides",0.3,272,21.48647482,547,2.15047619042857
"20","Alopecurus pratensis",0.45,308.06,43.430614195,1088.125,0.658
"21","Althaea officinalis",0.71625,205.345,173.995,4066.625,5.647
"22","Amaranthus caudatus",0.715,174.74,200.505,4117.22,0.669
"23","Amaranthus retroflexus",0.451666666666667,222.8025,265.49,3602.75,0.462666666666667
"24","Ammi majus",0.395,141.943333333333,2.27333333333333,77.6666666666667,0.615166666666667
"25","Anemone nemorosa",0.138333333333333,205,123.871023095,3003,2.1444
"26","Angelica sylvestris",0.783333333333333,220,1531.2,40902,2.42144444444444
"27","Anthemis arvensis",0.285,139.99,11.2233333333333,373.645,0.7576725
"28","Anthemis cotula",0.285,107,6.168481375,138,0.4542
"29","Anthericum liliago",0.3,162.63,180.665,3337.25,5.56125
"30","Anthriscus caucalis",0.36,193.738,114.076814835714,3649.4,1.1758
"31","Anthyllis vulneraria",0.2,170,63.29470563,1007,3.25339166666667
"32","Antirrhinum majus",0.425,165,26.46061644,303,0.1156
"33","Aphanes arvensis",0.085,264,2.341736695,38,0.21576
"34","Arabidopsis thaliana",0.133333333333333,103.5,9.642721352,281,0.02088
"35","Arabis hirsuta",0.323333333333333,166,15.75671642,374,0.0979076923076923
"36","Arabis sagittata",0.425,143.525,15.8725,269.675,0.1
"37","Arctium lappa",1.085,195.363333333333,1542.788,25226.8333333333,13.02328
"38","Arctium minus",0.7,177.333333333333,4104.936905,117000,12.0397523809524
"39","Arenaria serpyllifolia",0.165,219.18,0.654718250666667,13.1833333333333,0.0671106060454545
"40","Aristolochia clematitis",0.4,272.3,509.85,8534.625,32.43675
"41","Arrhenatherum elatius",1.275,291.316666666667,30.654063375,1223,3.07949333333333
"42","Artemisia absinthium",0.825,220.5,99.43251888,2475.5,0.106057777777778
"43","Artemisia annua",0.95,220.88,30.1675,639.692833333333,0.03
"44","Artemisia vulgaris",1.4,258,255.2913636,3914.42633333333,0.144933333333333
"45","Arum maculatum",0.2425,117.666666666667,317.9066447,10496.6666666667,72.6432533333333
"46","Asparagus officinalis",0.9,280.26,3.595,27.335,40.8633666666667
"47","Astragalus glycyphyllos",0.575,272.5,115.581532135,2720.5,5.15003333333333
"48","Atriplex prostrata",0.95,144.333333333333,139.77941404,2670.66666666667,2.15622
"49","Avena barbata",0.18,237.666666666667,0.00482,119,7.92272095242857
"50","Avena fatua",0.75,242,320.3024483,5227.5,22.1845
"51","Avena sterilis",0.27,192.73,17.32,560.75,59.232
"52","Avena strigosa",1.54,201.94,69.965,1978,7.44866666666667
"53","Baldellia ranunculoides",0.125,139,19.6,427,0.426933333333333
"54","Ballota nigra",0.625,222,38.35214076,717,0.85785
"55","Barbarea vulgaris",0.525,174,150.325324805,4750.5,0.606666666666667
"56","Bellis perennis",0.055,113.5,11.62723288,359,0.14152
"57","Berula erecta",0.475,96.475,160.63352494,3582.875,0.69945
"58","Beta vulgaris",1.4,167,751.7,18496,20.4113590243902
"59","Bidens frondosa",0.525,174.6,110.41,4176,8.66097142857143
"60","Bidens tripartita",0.525,152.16,74.7110556533333,2417.08333333333,2.43494
"61","Blackstonia perfoliata",0.221666666666667,223.065,18.5374196233333,453.75,0.009
"62","Borago officinalis",0.31,144.74,154.525,3946,15.766
"63","Brachypodium sylvaticum",0.825,308.47,20.4262208941667,3886.54545454545,2.78525454545455
"64","Brassica nigra",0.735,128.22,252.94,6916.8,1.32608571428571
"65","Brassica rapa",0.598333333333333,141.396666666667,135.13456938,3315.66666666667,2.1388
"66","Briza media",0.165,298.035,26.9652498225,644,0.40112222225
"67","Bromus arvensis",0.332,271.46,40.63,1085,2.62566666666667
"68","Bromus commutatus",0.5,221.25,31.3225,920.875,5.2019
"69","Bromus madritensis",0.19,165.83,2.5543175,156.416666666667,2.56333333333333
"70","Bromus sterilis",0.375,230.75,15.2497606843333,467.333333333333,7.4854
"71","Buddleja davidii",1.83333333333333,229.743333333333,77.285,2971.25,0.0567
"72","Butomus umbellatus",0.8,120.313333333333,529.97,5805.83333333333,0.1716
"73","Cakile maritima",0.208333333333333,88.6266666666667,74.94,885.75,22.4189333333333
"74","Calamagrostis epigejos",1,400.033333333333,258.194429533333,4994.5,0.0797333334
"75","Calendula arvensis",0.15,93.24,40.83,948,3.585
"76","Callitriche palustris",0.00875,108.82,0.595,58.125,0.076
"77","Calystegia sepium",1.2875,184,90.88484689,3208,30.272
"78","Calystegia silvatica",2,224,133.9542354,3092,37.133
"79","Campanula rapunculus",0.5,162.5,12.06,617.5,0.0333333333333333
"80","Campanula trachelium",0.6,159,92.24660086,3601,0.231155555555556
"81","Cannabis sativa",1.2,238.99,193.23,4865.875,6.4
"82","Capsella bursa-pastoris",0.126666666666667,147.3775,60.8887573225,1842.66666666667,0.0985154545454545
"83","Cardamine amara",0.241666666666667,125.666666666667,48.7516437433333,2515.33333333333,0.258
"84","Cardamine bulbifera",0.3975,149.565,52.8925,2207,2.7
"85","Cardamine flexuosa",0.216666666666667,129,12.33047046,661,0.122355555555556
"86","Cardamine heptaphylla",0.375,137.07,700,28081.25,6.02
"87","Cardamine hirsuta",0.118333333333333,126,11.217289988,337,0.1076
"88","Cardamine impatiens",0.358333333333333,311,7.080032733,239,0.278133333333333
"89","Cardamine parviflora",0.125,164.27,2.56,75.575,0.106
"90","Carduus nutans",0.6,127.666666666667,286.832203133333,4599,3.23571428571429
"91","Carex acuta",0.9,331.79,132.83,2455.25,0.424666666666667
"92","Carex acutiformis",0.75,333.43,430.7,7035,0.864166666666667
"93","Carex caryophyllea",0.09,310,16.593646155,387.5,1.2992
"94","Carex digitata",0.1,274.155,15.652912825,480.25,1.445
"95","Carex distans",0.2,303.985,13.5433333333333,265.25,1.43814285714286
"96","Carex divulsa",0.275,105,42.36,1403.7,1.57537142857143
"97","Carex echinata",0.25,365.5,15.3740942045,218,0.744788235294118
"98","Carex elata",0.9,344.07,280.38,2693.25,0.75559
"99","Carex extensa",0.135,320.49,11.52,101.25,1.24503333333333
"100","Carex flacca",0.275,332.9625,34.84894372,634.75,1.01511818181818
"101","Carex hirta",0.45,291.2125,74.826634202,1718.5625,2.8165
"102","Carex pallescens",0.325,264.57,14.635,526.5,1.25258333333333
"103","Carex pendula",0.5,301.5,1029.6398723,12540,0.721809090909091
"104","Carex pilulifera",0.1,328,10.26045949,209,1.22661290322222
"105","Carex pseudocyperus",0.35,308.56,157.67,3788,0.728615384615385
"106","Carex punctata",0.14,323.97,27.08,758,1.01422857142857
"107","Carex remota",0.45,254,12.81434932,318,0.371945454545455
"108","Carex riparia",1.05,326.64,1187.015,14070.25,1.99093333333333
"109","Carex rostrata",0.5,245.88,76.815,1182.5,1.18026666666667
"110","Carex spicata",0.275,249.633333333333,16.29,324.333333333333,2.38878
"111","Carex strigosa",0.625,160.94,76.005,2395.875,0.5492
"112","Carex sylvatica",0.425,324,29.75434925,677,1.66395384615385
"113","Carex vesicaria",0.55,320.11,99.85,1222,1.39118888888889
"114","Carlina acaulis",0.31,183.38,391.485,4001.14,4.08333333333333
"115","Carpinus betulus",17.875,258.685,62.93,2268.52,41.8153142857143
"116","Carthamus tinctorius",0.8275,145.99,136.45,1930.5,26.152
"117","Centaurea calcitrapa",0.35,165.83,73.14,1669,2.3032
"118","Centaurea nigra",0.425,154.333333333333,132.657338776667,3440,2.49422857142857
"119","Centaurea solstitialis",0.64,183.82,36.115,961.25,1.682
"120","Centaurium erythraea",0.14125,259.833333333333,11.9113359736667,251.5,0.0127692307692308
"121","Centaurium pulchellum",0.0633333333333333,184.38,0.25,16.83,0.0128111111111111
"122","Centranthus ruber",0.433333333333333,138.41,130.3674311,3105.625,2.0025
"123","Cephalanthera damasonium",0.35,166.065,55.2666666666667,1607.25,0.005
"124","Cerastium glomeratum",0.145,155.235,6.92513087175,176.666666666667,0.053294
"125","Cerastium pumilum",0.045,120.28,0.755,21.25,0.0662
"126","Cerastium semidecandrum",0.06,184.333333333333,1.641782751,32,0.0369536363636364
"127","Chaerophyllum bulbosum",0.85,264.21,477.82,7812.23,2.13333333333333
"128","Chaerophyllum temulum",0.491666666666667,249,783.1828877,20341,2.73757894736842
"129","Chelidonium majus",0.466666666666667,186.5,240.14783215,9226,0.74
"130","Chenopodium album",0.483333333333333,164.333333333333,148.549258353333,2390,0.647
"131","Chondrilla juncea",0.5,216.62,23.615,301.25,0.671
"132","Cichorium intybus",0.625,136,556.1217391,17537,1.77817333333333
"133","Circaea lutetiana",0.308333333333333,193.5,69.448388015,2643,1.79549090909091
"134","Cirsium arvense",0.8625,141.656666666667,190.5354895,3857.5,1.24554444444444
"135","Cirsium vulgare",0.9,140.718,772.965,11035.5,2.477741666625
"136","Clematis vitalba",20,238,181.9306757,5633,2.61067654318519
"137","Clinopodium vulgare",0.375,258,44.77825051,1055,0.425483333333333
"138","Conium maculatum",2.075,213.55,1656.91385666667,54419.815,2.3524
"139","Convolvulus arvensis",0.2626,172.5,40.729062745,1124.75,12.4924
"140","Coriandrum sativum",0.46,139.535,24.0275,1166.75,10.3166666666667
"141","Cornus mas",3.5,216.955,63.4175,1884.57,487.533333333333
"142","Crataegus laevigata",6,349.89,37.4375,730,275.9989
"143","Crepis biennis",0.575,132.5,189.01499035,6087.5,1.3082
"144","Crepis capillaris",0.275,125.666666666667,51.79898105,1585.66666666667,0.215039166666667
"145","Crepis vesicaria",0.41,167.22,61.2733333333333,1080.5,0.38537
"146","Crithmum maritimum",0.225,92,24.76510501,268,2.10536666666667
"147","Cruciata laevipes",0.283333333333333,232.666666666667,2.96324171733333,89.6666666666667,4.4628
"148","Cymbalaria muralis",0.25,85,29.256895065,875.5,0.123
"149","Cynodon dactylon",0.11,224.17,4.89666666666667,116.25,0.13925
"150","Cynosurus cristatus",0.546666666666667,247.163333333333,11.5967224085,347.333333333333,0.547476923076923
"151","Cyperus longus",0.56,241.33,55.57,1247,0.063
"152","Dactylis glomerata",0.454,262.5,49.902292548,1449,0.9114225
"153","Danthonia decumbens",0.1,338.635,14.61016854,378,1.4583
"154","Daphne laureola",0.725,276.41,161.84,1518.5,103.4
"155","Daphne mezereum",0.7625,186.5,24.1,340.9,43.9
"156","Datura stramonium",1.375,132.235,667.1875,14739.875,9.03373333333333
"157","Deschampsia cespitosa",0.4325,337.294,32.495170197619,342.333958333333,0.211112280710526
"158","Digitalis lutea",0.3,171.68,162.49,3647,0.1
"159","Digitaria ischaemum",0.16,165.18,7.37666666666667,109.875,0.748
"160","Digitaria sanguinalis",0.19,170.2,8.625,290.25,0.97
"161","Diplotaxis muralis",0.17,139.775,33.93,710.5,0.209333333333333
"162","Diplotaxis tenuifolia",0.35,113,113.47877698,2296,0.2836
"163","Dipsacus fullonum",0.9,167,1118.242889,23937,2.70928571428571
"164","Drosera intermedia",0.035,176.435,0.84,22.04,0.0288
"165","Drosera rotundifolia",0.0825,134.865,2.17,86.75,0.0176076923076923
"166","Echinochloa crus-galli",0.575,189.795,76.90086949,2264.625,2.33476923076923
"167","Echium vulgare",0.433333333333333,142,282.5035784,4523,2.959325
"168","Eleocharis multicaulis",0.3,282.55,22.72,172.5,0.5912
"169","Eleusine indica",0.1,222.53,11.83,288.25,0.456
"170","Elymus repens",0.75,273.0475,85.637022682,2361.66666666667,2.37525
"171","Epilobium hirsutum",1.03333333333333,208,130.14080997,2833,0.127777777777778
"172","Epilobium montanum",0.35,229.333333333333,91.7561712033333,2187,0.1267
"173","Epilobium parviflorum",0.433333333333333,160.333333333333,24.9194993,779,0.079411111
"174","Eragrostis minor",0.125,237.126666666667,3.015,118.09,0.092
"175","Erodium cicutarium",0.6,201.4025,60.198095238,1742.5,1.40968571428571
"176","Erodium moschatum",0.425,117.425,315.3625,8537.49,1.00548
"177","Eryngium campestre",0.28125,236.3075,3445.1425,32000.42,1.37167142857143
"178","Eryngium maritimum",0.308333333333333,136.15,707.8625,6625.63,24.7152
"179","Eupatorium cannabinum",1,202,284.17470285,6438.5,0.32999
"180","Euphorbia amygdaloides",0.3675,286.04,13.345,312.75,4.18776
"181","Euphorbia dulcis",0.3,238.54,12.26,420,2.121
"182","Euphorbia esula",0.425,221.935,3.33666666666667,111.625,3.49266666666667
"183","Euphorbia exigua",0.118333333333333,213,1.073333333,28,0.3035
"184","Euphorbia helioscopia",0.2,196.666666666667,12.8750590443333,457,2.44
"185","Euphorbia palustris",0.975,323.76,29.88,616,9.4425
"186","Euphorbia peplus",0.166666666666667,177,1.765363128,79,0.4935
"187","Fallopia convolvulus",0.6875,200,44.2627872366667,602.666666666667,4.038
"188","Fallopia dumetorum",1.875,214.703333333333,85.6,1530.47666666667,3.3956
"189","Filago pyramidata",0.1475,280.13,0.91,32.625,0.0505633333333333
"190","Filipendula vulgaris",0.325,295,141.8009479,3520,0.786672727272727
"191","Foeniculum vulgare",1.7875,234.5,1062.4,9445,2.70466666666667
"192","Fragaria vesca",0.108333333333333,388,132.86116195,2393.5,19.8767266666667
"193","Frangula alnus",3.85714285714286,256,78.8,964.55,125.929142857143
"194","Fumaria officinalis",0.6,133,7.147196262,266,3.09202857142857
"195","Galanthus nivalis",0.14,102.88,46.75,1403.5,6.392
"196","Galega officinalis",0.9,127.73,217.7675,8986,8.13991111111111
"197","Galium aparine",0.708333333333333,140,5.69581057933333,161.333333333333,9.44548666666667
"198","Galium mollugo",0.5,169.456666666667,2.36959020466667,80.5,0.732290909090909
"199","Galium palustre",0.435,181.26,0.7408707325,32.5,0.9095
"200","Galium parisiense",0.19875,200.1,0.58,13.6,0.2609806338
"201","Galium rotundifolium",0.15,140.34,1.955,110,0.955333333333333
"202","Galium verum",0.383333333333333,228.1325,0.803690617333333,15.6666666666667,0.5059708333125
"203","Genista pilosa",0.2175,370.595,1.66666666666667,20.6,2.669
"204","Genista tinctoria",0.5125,248,7.5744204,134.69,3.57154285714286
"205","Geranium columbinum",0.266666666666667,268,20.3771889975,560.5,3.5732
"206","Geranium dissectum",0.266666666666667,238,46.47570334,1074.66666666667,2.56533333333333
"207","Geranium lucidum",0.191666666666667,193.5,35.83756135,934.5,0.735
"208","Geranium molle",0.183333333333333,186.666666666667,26.70498686,709.666666666667,1.086875
"209","Geranium pusillum",0.183333333333333,201.666666666667,74.34298168,1898.66666666667,0.800636363636364
"210","Geranium robertianum",0.216666666666667,185.666666666667,41.1824691966667,1224,1.45325833333333
"211","Geranium sanguineum",0.216666666666667,259,57.27194464,1167,9.67606666666667
"212","Geranium sylvaticum",0.277,218.4,93.1264914285714,1889.33884615385,6.01977777777778
"213","Geum urbanum",0.366666666666667,302,151.9693888,3441,2.047383333375
"214","Glaucium flavum",0.4975,147.33,280.905,4986,0.932057142857143
"215","Glechoma hederacea",0.27,160,20.9567014945,882,0.6684
"216","Glyceria fluitans",0.5,277.9,28.6974854966667,1118.58333333333,1.1985
"217","Glyceria maxima",1.3,248.58,307.323307,9863,0.571
"218","Gratiola officinalis",0.275,188.87,5.97,158.75,0.0253333333333333
"219","Helianthemum nummularium",0.114,264,5.539920949,72.025,1.09072727272727
"220","Helleborus foetidus",0.3375,180.71,467.55,8718.08333333333,11.3584
"221","Helleborus viridis",0.258333333333333,236,2428.443626,27262,9.1538
"222","Herniaria hirsuta",0.0975,210.23,0.513333333333333,14.125,0.0561675
"223","Hieracium murorum",0.135,124.175,102.0575,4069.375,0.4
"224","Hieracium sabaudum",0.8,112,37.095,1637,0.4701
"225","Hippocrepis comosa",0.163333333333333,233.166666666667,17.024,218.166666666667,3.74848888888889
"226","Holcus lanatus",0.325,230.1775,21.803608515,970.833333333333,0.406916666666667
"227","Holcus mollis",0.275,216,30.11501273,1053.5,0.3484
"228","Hordeum murinum",0.3075,197.183333333333,12.035450072,519.8125,9.2693402598
"229","Hordeum secalinum",0.325,240,14.264796275,473,3.68253846153846
"230","Hordeum vulgare",1.0075,175.29,156.405,2321.83333333333,40.905
"231","Hornungia petraea",0.0616666666666667,143,0.736842105,14,0.0712666666666667
"232","Hottonia palustris",0.4,46.72,1.68,151.17,0.1348
"233","Humulus lupulus",5.5,292.5,436.38856055,7711,4.11258333333333
"234","Hydrocotyle vulgaris",0.2125,123.356,20.26188268,655,0.36
"235","Hypericum elodes",0.158333333333333,211.07,3.96,106,0.0749333333333333
"236","Hypericum humifusum",0.09125,274.925,1.4825,42.875,0.0469740741111111
"237","Hypericum montanum",0.35,274,18.03420428,444,0.0645846153846154
"238","Hypericum perforatum",0.358333333333333,303,8.724819986,147.333333333333,0.118575
"239","Hypericum tetrapterum",0.358333333333333,198.5,6.3595244015,223,0.04194
"240","Hypochaeris glabra",0.1725,102.97,12.577366094,406.333333333333,0.623514
"241","Iberis umbellata",0.245,149.45,16.665,490.25,1.743
"242","Iris pseudacorus",0.75,180.863333333333,1371.25183233333,20873.75,46.8642111111111
"243","Isatis tinctoria",0.65,154.525,98.2175,1459.375,4.319
"244","Jasione montana",0.15,210,0.95,36.5,0.0289604078461538
"245","Juncus acutiflorus",0.525,220,174.6666667,1200,0.0200111111111111
"246","Juncus articulatus",0.325,202.9525,52.2892144725,485.4375,0.0206111111111111
"247","Juncus bulbosus",0.09,228.525,1.58,25.8075,0.0204285714285714
"248","Juncus conglomeratus",0.72,284.18,490.1,2393,0.0181230769230769
"249","Juncus effusus",0.9,267.85,575,3514.5,0.0186074074444444
"250","Juncus inflexus",0.45,322.41,688.765,2219.25,0.0753834782608696
"251","Juncus maritimus",0.65,405.7,433.8,1090,0.03533
"252","Juncus subnodulosus",0.725,189,507.0784722,2080,0.01532
"253","Juncus tenageia",0.115,134.54,0.93,28,0.016
"254","Juncus tenuis",0.4075,109.57,14.45,276.5,0.0185
"255","Knautia arvensis",0.433333333333333,183.666666666667,140.7851567,2871.33333333333,4.13155757572727
"256","Lactuca perennis",0.25,140.22,109.56,2336.33,1.56
"257","Lactuca serriola",0.675,191,397.1180185,5993,0.5437
"258","Lactuca virosa",0.8525,173.58,304.153876116667,7390.7,0.8365
"259","Lamium amplexicaule",0.133333333333333,135,8.462668666,167,0.5788
"260","Lamium maculatum",0.375,197,47.04573503,1371.44,1.6085333334
"261","Lamium purpureum",0.225,139.8,11.3188013666667,537.498,0.7016
"262","Lapsana communis",0.5,127,98.979228535,4966,1.0212
"263","Lathyrus latifolius",2,220,435.7653916,7017,47.254
"264","Lathyrus nissolia",0.375,201.073333333333,54.45319753,975.116666666667,9.207
"265","Lathyrus odoratus",0.8,200.565,86.4725,2480.75,73.804
"266","Lathyrus pratensis",0.566666666666667,273.666666666667,6.958663343,158.333333333333,12.5195055555833
"267","Lathyrus vernus",0.255,198.0975,132.091666666667,4380,16.258
"268","Legousia speculum-veneris",0.1725,138.64,1.915,103.75,0.194
"269","Leontodon hispidus",0.235,139.748,69.7610738788889,2280.66666666667,1.11426666664706
"270","Lepidium campestre",0.2925,206.795,17.0929116466667,416.5,2.1738
"271","Leucanthemum vulgare",0.364,129.666666666667,27.1214530225,669.666666666667,0.383433333333333
"272","Leucojum aestivum",0.475,82.52,300,7415,46.3548
"273","Leucojum vernum",0.1,84.97,95.96,3173.75,12.0404
"274","Levisticum officinale",1.2,196,2507.6,67588,1.394
"275","Lilium bulbiferum",0.6,140.52,26.795,461,7.4
