"","sbs_name","canopy_height_m","ldmc_geo_mgg","leaf_mass_mg","leaf_size_mm2","seed_mass_mg","seed_number"
"319","Erigeron annuus",0.7875,200.74,41.91,859,NA,NA
"320","Erigeron karvinskianus",NA,NA,NA,NA,0.049818182,NA
"321","Erodium cicutarium",0.6,201.4025,60.198095238,1742.5,1.40968571428571,NA
"322","Erodium moschatum",0.425,117.425,315.3625,8537.49,1.00548,NA
"323","Erophila verna",0.03,166.13,0.26,NA,0.02561,NA
"324","Eryngium campestre",0.28125,236.3075,3445.1425,32000.42,1.37167142857143,NA
"325","Eryngium maritimum",0.308333333333333,136.15,707.8625,6625.63,24.7152,NA
"326","Eschscholzia californica",0.35,NA,NA,NA,1.745,NA
"327","Euonymus europaeus",3.41666666666667,243.5,NA,1181.5,52.1392,NA
"328","Eupatorium cannabinum",1,202,284.17470285,6438.5,0.32999,NA
"329","Euphorbia amygdaloides",0.3675,286.04,13.345,312.75,4.18776,NA
"330","Euphorbia cyparissias",0.175,NA,NA,NA,1.9624,NA
"331","Euphorbia dulcis",0.3,238.54,12.26,420,2.121,NA
"332","Euphorbia esula",0.425,221.935,3.33666666666667,111.625,3.49266666666667,NA
"333","Euphorbia exigua",0.118333333333333,213,1.073333333,28,0.3035,NA
"334","Euphorbia helioscopia",0.2,196.666666666667,12.8750590443333,457,2.44,NA
"335","Euphorbia maculata",NA,NA,NA,NA,0.068,NA
"336","Euphorbia palustris",0.975,323.76,29.88,616,9.4425,NA
"337","Euphorbia paralias",0.25,NA,NA,NA,NA,NA
"338","Euphorbia peplus",0.166666666666667,177,1.765363128,79,0.4935,NA
"339","Euphorbia platyphyllos",0.35,NA,NA,NA,2.4516,NA
"340","Fagopyrum esculentum",0.375,NA,NA,NA,NA,NA
"341","Fagus sylvatica",32.1875,309.25,NA,2027.675,177.0824,NA
"342","Fallopia convolvulus",0.6875,200,44.2627872366667,602.666666666667,4.038,NA
"343","Fallopia dumetorum",1.875,214.703333333333,85.6,1530.47666666667,3.3956,NA
"344","Festuca arundinacea",0.6,234,217.26654915,4002.5,2.04858333333333,NA
"345","Festuca heterophylla",0.275,NA,NA,NA,1.322,NA
"346","Festuca pratensis",0.55,265.255,24.92950873,527.5,1.94775,NA
"347","Filago pyramidata",0.1475,280.13,0.91,32.625,0.0505633333333333,NA
"348","Filipendula vulgaris",0.325,295,141.8009479,3520,0.786672727272727,NA
"349","Foeniculum vulgare",1.7875,234.5,1062.4,9445,2.70466666666667,NA
"350","Fragaria vesca",0.108333333333333,388,132.86116195,2393.5,19.8767266666667,NA
"351","Frangula alnus",3.85714285714286,256,78.8,964.55,125.929142857143,NA
"352","Fraxinus excelsior",26.1428571428571,256.5,NA,1426.54,58.4213475,NA
"353","Fraxinus ornus",6.5,NA,NA,NA,65.1,NA
"354","Fumaria bastardii",1,NA,NA,NA,2.5258,NA
"355","Fumaria capreolata",0.825,NA,NA,NA,3.6716,NA
"356","Fumaria officinalis",0.6,133,7.147196262,266,3.09202857142857,NA
"357","Galanthus nivalis",0.14,102.88,46.75,1403.5,6.392,NA
"358","Galega officinalis",0.9,127.73,217.7675,8986,8.13991111111111,NA
"359","Galium album",0.875,NA,NA,NA,0.526,NA
"360","Galium aparine",0.708333333333333,140,5.69581057933333,161.333333333333,9.44548666666667,NA
"361","Galium debile",0.2125,NA,NA,NA,NA,NA
"362","Galium lucidum",0.375,NA,NA,NA,0.793333333333333,NA
"363","Galium mollugo",0.5,169.456666666667,2.36959020466667,80.5,0.732290909090909,NA
"364","Galium palustre",0.435,181.26,0.7408707325,32.5,0.9095,NA
"365","Galium parisiense",0.19875,200.1,0.58,13.6,0.2609806338,NA
"366","Galium rotundifolium",0.15,140.34,1.955,110,0.955333333333333,NA
"367","Galium spurium",0.65,NA,NA,NA,1.95308,NA
"368","Galium verum",0.383333333333333,228.1325,0.803690617333333,15.6666666666667,0.5059708333125,NA
"369","Gastridium ventricosum",NA,NA,NA,NA,0.0998756755,NA
"370","Gaudinia fragilis",0.275,NA,NA,NA,NA,NA
"371","Genista germanica",0.4,NA,NA,NA,2.878,NA
"372","Genista pilosa",0.2175,370.595,1.66666666666667,20.6,2.669,NA
"373","Genista tinctoria",0.5125,248,7.5744204,134.69,3.57154285714286,NA
"374","Geranium columbinum",0.266666666666667,268,20.3771889975,560.5,3.5732,NA
"375","Geranium dissectum",0.266666666666667,238,46.47570334,1074.66666666667,2.56533333333333,NA
"376","Geranium lucidum",0.191666666666667,193.5,35.83756135,934.5,0.735,NA
"377","Geranium molle",0.183333333333333,186.666666666667,26.70498686,709.666666666667,1.086875,NA
"378","Geranium nodosum",NA,NA,NA,NA,5.978,NA
"379","Geranium purpureum",0.225,NA,NA,NA,1.86956,NA
"380","Geranium pusillum",0.183333333333333,201.666666666667,74.34298168,1898.66666666667,0.800636363636364,NA
"381","Geranium robertianum",0.216666666666667,185.666666666667,41.1824691966667,1224,1.45325833333333,NA
"382","Geranium rotundifolium",0.175,NA,NA,NA,1.70568,NA
"383","Geranium sanguineum",0.216666666666667,259,57.27194464,1167,9.67606666666667,NA
"384","Geranium sylvaticum",0.277,218.4,93.1264914285714,1889.33884615385,6.01977777777778,NA
"385","Geum urbanum",0.366666666666667,302,151.9693888,3441,2.047383333375,NA
"386","Gladiolus communis",0.6,NA,NA,NA,NA,NA
"387","Glaucium flavum",0.4975,147.33,280.905,4986,0.932057142857143,NA
"388","Glechoma hederacea",0.27,160,20.9567014945,882,0.6684,NA
"389","Gleditsia triacanthos",30,NA,NA,NA,185.2,NA
"390","Glyceria fluitans",0.5,277.9,28.6974854966667,1118.58333333333,1.1985,NA
"391","Glyceria maxima",1.3,248.58,307.323307,9863,0.571,NA
"392","Gratiola officinalis",0.275,188.87,5.97,158.75,0.0253333333333333,NA
"393","Hedera helix",12.35,253.777777777778,NA,1736.53333333333,73.695175,NA
"394","Helianthemum apenninum",0.133333333333333,NA,NA,NA,1.307,NA
"395","Helianthemum nummularium",0.114,264,5.539920949,72.025,1.09072727272727,NA
"396","Helianthemum oelandicum",NA,NA,NA,NA,0.51,NA
"397","Helianthemum salicifolium",NA,NA,NA,NA,0.29,NA
"398","Helianthus annuus",1.8,131.12,534,10901,NA,NA
"399","Helianthus tuberosus",1.75,125.95,628.25,19578.5,NA,NA
"400","Heliotropium europaeum",0.2,NA,NA,NA,NA,NA
"401","Helleborus foetidus",0.3375,180.71,467.55,8718.08333333333,11.3584,NA
"402","Helleborus viridis",0.258333333333333,236,2428.443626,27262,9.1538,NA
"403","Hemerocallis fulva",0.525,NA,NA,NA,NA,NA
"404","Hemerocallis lilioasphodelus",0.4,NA,NA,NA,30.66,NA
"405","Herniaria hirsuta",0.0975,210.23,0.513333333333333,14.125,0.0561675,NA
"406","Hieracium murorum",0.135,124.175,102.0575,4069.375,0.4,NA
"407","Hieracium racemosum",0.225,NA,NA,NA,NA,NA
"408","Hieracium sabaudum",0.8,112,37.095,1637,0.4701,NA
"409","Hippocrepis comosa",0.163333333333333,233.166666666667,17.024,218.166666666667,3.74848888888889,NA
"410","Holcus lanatus",0.325,230.1775,21.803608515,970.833333333333,0.406916666666667,NA
"411","Holcus mollis",0.275,216,30.11501273,1053.5,0.3484,NA
"412","Hordeum marinum",0.1275,221,0.67,31.5,NA,NA
"413","Hordeum murinum",0.3075,197.183333333333,12.035450072,519.8125,9.2693402598,NA
"414","Hordeum secalinum",0.325,240,14.264796275,473,3.68253846153846,NA
"415","Hordeum vulgare",1.0075,175.29,156.405,2321.83333333333,40.905,NA
"416","Hornungia petraea",0.0616666666666667,143,0.736842105,14,0.0712666666666667,NA
"417","Hottonia palustris",0.4,46.72,1.68,151.17,0.1348,NA
"418","Humulus lupulus",5.5,292.5,436.38856055,7711,4.11258333333333,NA
"419","Hyacinthoides hispanica",NA,65.5,156.53993425,4262.5,7.2,NA
"420","Hyacinthus orientalis",0.275,NA,NA,NA,NA,NA
"421","Hydrocotyle vulgaris",0.2125,123.356,20.26188268,655,0.36,NA
"422","Hypericum androsaemum",0.55,NA,NA,NA,0.1024,NA
"423","Hypericum calycinum",0.3,329,142.9710726,1641,NA,NA
"424","Hypericum elodes",0.158333333333333,211.07,3.96,106,0.0749333333333333,NA
"425","Hypericum humifusum",0.09125,274.925,1.4825,42.875,0.0469740741111111,NA
"426","Hypericum montanum",0.35,274,18.03420428,444,0.0645846153846154,NA
"427","Hypericum perforatum",0.358333333333333,303,8.724819986,147.333333333333,0.118575,NA
"428","Hypericum tetrapterum",0.358333333333333,198.5,6.3595244015,223,0.04194,NA
"429","Hypochaeris glabra",0.1725,102.97,12.577366094,406.333333333333,0.623514,NA
"430","Iberis umbellata",0.245,149.45,16.665,490.25,1.743,NA
"431","Ilex aquifolium",11.95,261.875,NA,1576.525,50.6104,NA
"432","Iris foetidissima",NA,297.6,836.08175635,8748,101.2606,NA
"433","Iris pseudacorus",0.75,180.863333333333,1371.25183233333,20873.75,46.8642111111111,NA
"434","Isatis tinctoria",0.65,154.525,98.2175,1459.375,4.319,NA
"435","Jasione montana",0.15,210,0.95,36.5,0.0289604078461538,NA
"436","Juglans nigra",22.5,NA,NA,NA,12500,NA
"437","Juglans regia",15,240,NA,3909.7,4753,NA
"438","Juncus acutiflorus",0.525,220,174.6666667,1200,0.0200111111111111,NA
"439","Juncus articulatus",0.325,202.9525,52.2892144725,485.4375,0.0206111111111111,NA
"440","Juncus bufonius",NA,136.5,4.5513273475,80.5,0.0251263636363636,NA
"441","Juncus bulbosus",0.09,228.525,1.58,25.8075,0.0204285714285714,NA
"442","Juncus conglomeratus",0.72,284.18,490.1,2393,0.0181230769230769,NA
"443","Juncus effusus",0.9,267.85,575,3514.5,0.0186074074444444,NA
"444","Juncus inflexus",0.45,322.41,688.765,2219.25,0.0753834782608696,NA
"445","Juncus maritimus",0.65,405.7,433.8,1090,0.03533,NA
"446","Juncus subnodulosus",0.725,189,507.0784722,2080,0.01532,NA
"447","Juncus tenageia",0.115,134.54,0.93,28,0.016,NA
"448","Juncus tenuis",0.4075,109.57,14.45,276.5,0.0185,NA
"449","Juniperus communis",6.02,510.01,NA,NA,8.76775,NA
"450","Juniperus oxycedrus",NA,454.6,NA,NA,NA,NA
"451","Kickxia elatine",0.263333333333333,172.5,NA,133.477,0.356666666666667,NA
"452","Kickxia spuria",0.263333333333333,177.333333333333,NA,NA,0.3755,NA
"453","Knautia arvensis",0.433333333333333,183.666666666667,140.7851567,2871.33333333333,4.13155757572727,NA
"454","Knautia drymeia",0.4,NA,NA,NA,2.6,NA
"455","Laburnum anagyroides",6.875,223.666666666667,NA,1001.16666666667,27.769,NA
"456","Lactuca perennis",0.25,140.22,109.56,2336.33,1.56,NA
"457","Lactuca saligna",0.3,NA,NA,NA,0.66045,NA
"458","Lactuca sativa",0.6,NA,NA,NA,1.2,NA
"459","Lactuca serriola",0.675,191,397.1180185,5993,0.5437,NA
"460","Lactuca virosa",0.8525,173.58,304.153876116667,7390.7,0.8365,NA
"461","Lagurus ovatus",NA,NA,NA,NA,0.55,NA
"462","Lamium amplexicaule",0.133333333333333,135,8.462668666,167,0.5788,NA
"463","Lamium maculatum",0.375,197,47.04573503,1371.44,1.6085333334,NA
"464","Lamium purpureum",0.225,139.8,11.3188013666667,537.498,0.7016,NA
"465","Lapsana communis",0.5,127,98.979228535,4966,1.0212,NA
"466","Lathyrus aphaca",0.6125,NA,NA,NA,21.7277,NA
"467","Lathyrus cicera",NA,228,NA,NA,NA,NA
"468","Lathyrus hirsutus",0.65,NA,NA,NA,32.42,NA
"469","Lathyrus latifolius",2,220,435.7653916,7017,47.254,NA
"470","Lathyrus nissolia",0.375,201.073333333333,54.45319753,975.116666666667,9.207,NA
"471","Lathyrus odoratus",0.8,200.565,86.4725,2480.75,73.804,NA
"472","Lathyrus pratensis",0.566666666666667,273.666666666667,6.958663343,158.333333333333,12.5195055555833,NA
"473","Lathyrus sphaericus",NA,NA,NA,NA,16.661,NA
"474","Lathyrus sylvestris",1.33333333333333,NA,NA,NA,39.27264,NA
"475","Lathyrus vernus",0.255,198.0975,132.091666666667,4380,16.258,NA
"476","Laurus nobilis",NA,NA,NA,NA,714.3,NA
"477","Lavandula angustifolia",0.3,NA,NA,NA,1.28,NA
"478","Lavandula latifolia",NA,NA,NA,NA,0.95,NA
"479","Legousia speculum-veneris",0.1725,138.64,1.915,103.75,0.194,NA
"480","Lemna gibba",0.0045,114.13,0.155,3.35,NA,NA
"481","Lemna minor",0.004,107,0.481395349,9,NA,NA
"482","Leontodon hispidus",0.235,139.748,69.7610738788889,2280.66666666667,1.11426666664706,NA
"483","Leontodon tuberosus",NA,NA,NA,NA,0.508945,NA
"484","Leonurus cardiaca",0.65,NA,NA,NA,0.95216,NA
"485","Lepidium campestre",0.2925,206.795,17.0929116466667,416.5,2.1738,NA
"486","Lepidium graminifolium",0.475,NA,NA,NA,0.754,NA
"487","Leucanthemum vulgare",0.364,129.666666666667,27.1214530225,669.666666666667,0.383433333333333,NA
"488","Leucojum aestivum",0.475,82.52,300,7415,46.3548,NA
"489","Leucojum vernum",0.1,84.97,95.96,3173.75,12.0404,NA
"490","Levisticum officinale",1.2,196,2507.6,67588,1.394,NA
"491","Ligustrum vulgare",3.7,273,NA,626.9,35.438425,NA
"492","Lilium bulbiferum",0.6,140.52,26.795,461,7.4,NA
"493","Limonium vulgare",0.165,191.26,271.838,2687.83333333333,1.0691,NA
"494","Linaria vulgaris",0.416666666666667,189.25,5.67828227766667,105.3945,0.174676923076923,NA
"495","Lindernia dubia",0.1,NA,NA,NA,NA,NA
"496","Linum bienne",0.375,NA,NA,NA,1.2354,NA
"497","Linum strictum",NA,NA,NA,NA,0.32,NA
"498","Linum tenuifolium",0.3,NA,NA,NA,1.29,NA
"499","Linum usitatissimum",0.45,163.445,0.905,41.5,5.07,NA
"500","Lobelia erinus",0.185,NA,NA,NA,0.038,NA
"501","Lobularia maritima",0.146666666666667,NA,NA,NA,0.224050633,NA
"502","Logfia minima",0.125,367.185,0.2,6.635,0.025341,NA
"503","Lolium multiflorum",0.325,265,26.82177515,606,2.9086,NA
"504","Lolium perenne",0.125,214.3975,14.5298595333333,402,1.97511111111111,NA
"505","Lolium rigidum",NA,NA,0.00805,201,NA,NA
"506","Lolium temulentum",0.65,219.53,61.67,1476.5,NA,NA
"507","Lonicera caprifolium",4.875,250.63,74.6525,1630.125,8.04,NA
"508","Lonicera etrusca",NA,278.5,NA,NA,NA,NA
"509","Lotus angustissimus",0.0975,NA,NA,NA,0.4552,NA
"510","Lotus corniculatus",0.429166666666667,186,4.49923305066667,132,1.4034375,NA
"511","Lotus pedunculatus",0.2625,207.813333333333,16.1518002866667,511,4.62866666666667,NA
"512","Lotus tenuis",0.9,151.31,3.89,96.85,NA,NA
"513","Ludwigia palustris",0.12,205.2325,7.28,258.87,0.045,NA
"514","Lunaria annua",0.45,114.865,226.565,7897.83333333333,18.933,NA
"515","Lupinus angustifolius",0.45,NA,NA,NA,54.5265333333333,NA
"516","Luzula campestris",0.27,245.74,4.315,73,0.676883076923077,NA
"517","Luzula forsteri",0.15,NA,NA,NA,1.3132,NA
"518","Luzula pilosa",0.15,228,26.46637744,664,0.9704,NA
"519","Lycium barbarum",2.16666666666667,163.93,84.8366666666667,1310.875,NA,NA
"520","Lycopus europaeus",0.566666666666667,103.92,29.4,1814.75,0.233163636363636,NA
"521","Lycopus exaltatus",0.9,NA,NA,NA,0.294,NA
"522","Lysimachia nummularia",0.45,227.65,10.07904268,284.333333333333,0.5,NA
"523","Lysimachia punctata",0.55,246,129.304382,2841,0.4445,NA
"524","Lysimachia vulgaris",0.896,242.623333333333,95.08408684,2539.25,0.3224,NA
"525","Lythrum hyssopifolia",0.311666666666667,218.27,0.49,12.5,0.332078947368421,NA
"526","Lythrum portula",0.103333333333333,277,1.289932886,31,0.0332,NA
"527","Lythrum salicaria",0.708333333333333,179.845,51.07559052,1742.375,0.085928,NA
"528","Malus sylvestris",6,248.8,200.25424625,2910.14,23.634,NA
"529","Malva alcea",0.65,136.21,49.95,1375.5,3.9,NA
"530","Malva sylvestris",0.575,171.22,341.6,7727.5,2.96045714285714,NA
"531","Marsilea quadrifolia",0.1,NA,NA,NA,NA,NA
"532","Matthiola incana",0.476666666666667,119.17,26.485,590,2.06,NA
"533","Medicago arabica",0.308333333333333,189.07,19.0475,675.585,1.8786,NA
"534","Medicago lupulina",0.25,196,17.27838062,509.333333333333,1.77992777775,NA
"535","Medicago minima",0.10625,250.5,NA,NA,0.89672,NA
"536","Medicago polymorpha",0.3625,224.065,33.205,667.25,2.946,NA
"537","Medicago rigidula",NA,NA,NA,NA,2.865,NA
"538","Medicago sativa",NA,218.666666666667,29.1877923166667,1288,2.73133333333333,NA
"539","Melica ciliata",0.36,506.78,11.175,204.03,0.8515135135,NA
"540","Melica transsilvanica",NA,NA,NA,NA,0.617,NA
"541","Melica uniflora",0.325,NA,NA,NA,2.89996363636364,NA
"542","Melilotus officinalis",1.075,237.666666666667,46.8907955283333,607,2.95879473684211,NA
"543","Melissa officinalis",0.525,NA,NA,NA,0.58,NA
"544","Melittis melissophyllum",0.3,148.295,45.22,2586.75,5.39,NA
"545","Mentha aquatica",0.383333333333333,179.62,40.615563575,1722.4375,0.128323809571429,NA
"546","Mentha longifolia",0.725,194.905,61.885,1777,0.064,NA
"547","Mentha pulegium",0.166666666666667,179.3,6.32,198.27,0.077032,NA
"548","Mentha spicata",0.475,234.4,54.62655902,1057.6,NA,NA
"549","Mentha suaveolens",0.575,181.94,56.8633333333333,1483.75,0.0465,NA
"550","Menyanthes trifoliata",0.176666666666667,193.726666666667,211.286,4425.16666666667,2.97472,NA
"551","Mercurialis annua",0.25,165.385,17.075,759.855,2.32230909090909,NA
"552","Mercurialis perennis",0.216666666666667,224.5,83.870610815,1890.5,5.55142857142857,NA
"553","Mespilus germanica",6.375,325.545,180.385,2747.5,60.83,NA
"554","Meum athamanticum",0.235,NA,NA,NA,7.37226666666667,NA
"555","Minuartia hybrida",0.0716666666666667,321.95,0.17,3.58,0.04395,NA
"556","Misopates orontium",0.343333333333333,134.215,9.86,202.625,0.15686,NA
"557","Moehringia muscosa",0.1,NA,NA,NA,NA,NA
"558","Moehringia trinervia",0.175,179.333333333333,2.397892544,81.3333333333333,0.21,NA
"559","Moenchia erecta",0.0483333333333333,NA,NA,NA,0.07153,NA
"560","Molinia caerulea",0.7875,369.716666666667,56.85673155,1286.625,0.714553846153846,NA
"561","Monotropa hypopitys",0.135,NA,NA,NA,0.003,NA
"562","Montia fontana",0.163333333333333,108.59,0.4216666665,15.55,0.2625,NA
"563","Morus nigra",8,NA,NA,NA,1.6,NA
"564","Muscari botryoides",0.15,94.33,51.85,1533,3.37,NA
"565","Muscari neglectum",0.115,NA,NA,NA,3.20624,NA
"566","Myagrum perfoliatum",0.24,114.64,41.77,1211.5,20.88,NA
"567","Myosotis arvensis",0.23,123,28.22270336,759.5,0.2927,NA
"568","Myosotis laxa",0.21125,122.3725,6.86943783916667,326.9375,0.224,NA
"569","Myosotis ramosissima",0.101666666666667,146.666666666667,9.06432748533333,187,0.20185,NA
"570","Myosotis scorpioides",0.278333333333333,142.6375,17.645238216,1086.0625,0.3013,NA
"571","Myosotis sylvatica",0.216666666666667,146,19.72615528,613.333333333333,0.53825,NA
"572","Myriophyllum spicatum",1,240.22,3.8,33.825,1.2705,NA
"573","Myrtus communis",NA,NA,NA,NA,19.605,NA
"574","Narcissus poeticus",NA,127,238.984636,4582,NA,NA
"575","Narcissus pseudonarcissus",0.225,137.5,92.41273817,1773.5,5.81173333333333,NA
"576","Nasturtium officinale",0.24,97.5,29.09564568,1435,0.1932,NA
"577","Nigella arvensis",0.23,174.8,8.135,188.54,2,NA
"578","Nigella damascena",0.3875,179.6,80.92,2361,2.1095,NA
"579","Nymphaea alba",0.03,181,2682.7,39342,1.90181818181818,NA
"580","Oenanthe aquatica",0.6,136.45,209.953333333333,4890.25,2.7778,NA
"581","Oenanthe fistulosa",0.425,132.875,14.7166666666667,420.155,4.39111428571429,NA
"582","Oenanthe lachenalii",1,190.9,77.06,1180.92,1.50885714285714,NA
"583","Oenanthe peucedanifolia",0.375,NA,NA,NA,1.85266666666667,NA
"584","Oenanthe pimpinelloides",0.475,NA,NA,NA,2.1928,NA
"585","Oenanthe silaifolia",0.6875,NA,NA,NA,1.691,NA
"586","Oenothera biennis",0.658333333333333,NA,NA,14200,0.57863333325,NA
"587","Oenothera rosea",0.12,201.575,9.975,317.58,NA,NA
"588","Onobrychis viciifolia",0.275,244.2425,164.049656625,3134.4375,20.11705,NA
"589","Ononis reclinata",0.035,NA,NA,NA,0.738,NA
"590","Ononis spinosa",0.275,NA,NA,NA,4.95110769230769,NA
"591","Ophioglossum vulgatum",0.125,110,60.015712135,1487,NA,NA
"592","Ophrys apifera",0.15,139,29.662721895,612.5,NA,NA
"593","Ophrys sphegodes",0.135,101.61,24.335,771.75,NA,NA
"594","Orchis mascula",0.165,122.69,142.260687476667,2527.66666666667,NA,NA
"595","Orchis militaris",0.2,111.96,292.82,6088,0.001,NA
"596","Orchis simia",0.25,102.5,130.69,3413.25,NA,NA
"597","Origanum majorana",0.325,NA,NA,NA,0.315,NA
"598","Origanum vulgare",0.408333333333333,233,23.36623932,511,0.09555,NA
"599","Orlaya grandiflora",0.2825,168.19,76.13,1618,12.833,NA
"600","Ornithogalum orthophyllum",0.075,NA,NA,NA,NA,NA
"601","Ornithogalum umbellatum",0.2,83,116.99877,725,NA,NA
"602","Ornithopus compressus",NA,NA,NA,NA,2.09633333333333,NA
"603","Ornithopus pinnatus",0.075,NA,NA,NA,1.0616,NA
"604","Orobanche hederae",0.225,NA,NA,NA,0.006,NA
"605","Orobanche minor",0.35,NA,NA,NA,0.016225,NA
"606","Orobanche purpurea",0.225,NA,NA,NA,0.0092996,NA
"607","Orobanche rapum-genistae",0.35,NA,NA,NA,NA,NA
"608","Orobanche reticulata",0.2375,NA,NA,NA,NA,NA
"609","Osmunda regalis",1,278.025,12365.9375,164635.19,NA,NA
"610","Oxalis acetosella",0.0925,129.785,7.689057145,806,0.961,NA
"611","Oxalis articulata",0.35,NA,NA,NA,NA,NA
"612","Oxalis corniculata",0.15,149.72,2.62,220.78,0.1884,NA
"613","Oxalis pes-caprae",0.2,NA,NA,NA,NA,NA
"614","Oxalis stricta",0.175,NA,NA,NA,0.175,NA
"615","Papaver dubium",0.474,175.75,224.6422113475,4627,0.1185,NA
"616","Papaver rhoeas",0.3675,143,166.81395105,4986.5,0.109333333333333,NA
"617","Papaver somniferum",0.7,177.78,272,10398,0.454666666666667,NA
"618","Parapholis incurva",NA,NA,NA,NA,2.3432,NA
"619","Parentucellia latifolia",NA,NA,NA,NA,0.0185433333333333,NA
"620","Parentucellia viscosa",0.2,NA,NA,NA,0.01768,NA
"621","Parietaria judaica",0.3125,185.5,24.25055129,857,0.200185714285714,NA
"622","Parietaria officinalis",0.65,147.535,46.6875,2965,0.389,NA
"623","Paris quadrifolia",0.2,176,37.85083333,1325,119.6368,NA
"624","Parthenocissus inserta",10,220.24,708.54,13662.25,20.42,NA
"625","Pastinaca sativa",0.6,152,382.97528855,14914.5,3.90314285714286,NA
"626","Petasites albus",0.425,121.063333333333,919.5,23322.5833333333,0.234,NA
"627","Petasites hybridus",0.575,201.5,7596.7887335,139875,0.23038,NA
"628","Petrorhagia nanteuilii",0.5,NA,NA,NA,0.2552,NA
"629","Petrorhagia prolifera",0.3875,231.15,3.345,58.25,0.3506114286,NA
"630","Petrorhagia saxifraga",0.2,237,NA,NA,0.16,NA
"631","Petroselinum crispum",0.575,NA,NA,NA,1.128,NA
"632","Peucedanum palustre",0.8575,212.952857142857,587.358571428571,9407.28571428571,2.861,NA
"633","Phacelia tanacetifolia",0.575,131.55,120.36,3123,1.199,NA
"634","Phalaris arundinacea",1.45,263,128.7016232,3366,0.652637037,NA
"635","Philadelphus coronarius",2.75,NA,NA,NA,NA,NA
"636","Phillyrea latifolia",NA,417.5,NA,NA,28.9,NA
"637","Phleum arenarium",0.075,NA,NA,NA,0.211733333333333,NA
"638","Phleum pratense",0.371,276.142857142857,9.90727713383333,380,0.58775,NA
"639","Phragmites australis",2.5,403.1,348.394385533333,6925.875,0.134285714285714,NA
"640","Physalis alkekengi",0.625,NA,NA,NA,1.558,NA
"641","Physospermum cornubiense",0.525,NA,NA,NA,8.20653333333333,NA
"642","Phytolacca americana",3,NA,NA,NA,NA,NA
"643","Picea abies",50,NA,NA,NA,6.66366666666667,NA
"644","Picea pungens",35,NA,NA,NA,4.2,NA
"645","Picris hieracioides",0.6375,182.652,77.42508472,2327.55,1.108,NA
"646","Pinus nigra",40,NA,NA,NA,23.9,NA
"647","Pinus pinaster",30,NA,NA,NA,69,NA
"648","Pinus sylvestris",34.5,299.114285714286,10.81,65.9428571428572,7.572,NA
"649","Pistacia lentiscus",NA,NA,NA,NA,28.17,NA
"650","Pisum sativum",0.65,NA,NA,NA,234.542666666667,NA
