Nas_%;Method;cor;RMSE
10;MEAN_all;0.3224331;9399.378
30;MEAN_all;0.2869472;4699.22
10;MEAN_genus;0.3374773;9250.808
30;MEAN_genus;0.5869843;3967.686
10;kNN;0.859135;7279.704
30;kNN;0.7412652;3567.49
10;mice;0.9429916;3560.425
30;mice;0.5156306;4406.173
10;missForest;0.8798984;5894.262
30;missForest;0.7625995;3378.371
10;missForest_PVRs;0.8050689;6717.548
30;missForest_PVRs;0.5585047;4062.18
10;Rphylopars_Brow;0.9498553;3753.587
30;Rphylopars_Brow;0.8890581;2348.346
10;Rphylopars_OU;0.9500217;3771.924
30;Rphylopars_OU;0.874755;2438.515
10;BHMPF;0.1850964;1.566254
30;BHMPF;0.04600237;2.095398
10;BHMPF_hie;0.5519345;1.018367
30;BHMPF_hie;0.3074057;1.471656